,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,configuration,chosen_color
0,0,0.42688853558500106,0.4,1.0,401.0,611.0,1.0,228.0,1,1.0,1.0
1,1,-0.8569224104480335,-0.9,1.0,364.0,627.0,1.0,-441.0,1,-1.0,-1.0
2,2,-0.8919182512791414,-0.9,1.0,408.0,570.0,1.0,82.0,1,-1.0,-1.0
3,3,0.6051182883198768,0.6,-1.0,377.0,592.0,0.0,4031.0,0,-1.0,0.0
4,4,0.8281425584583156,0.8,-1.0,371.0,761.0,0.0,3868.0,0,-1.0,0.0
5,5,0.17144767107798897,0.2,-1.0,440.0,661.0,0.0,3899.0,0,-1.0,0.0
6,6,0.6837508275168559,0.7,1.0,411.0,811.0,1.0,208.0,1,1.0,1.0
7,7,0.04945380268623256,0.0,-1.0,262.0,663.0,0.0,4075.0,0,-1.0,0.0
8,8,-0.5542674034444472,-0.6,1.0,356.0,692.0,1.0,52.0,1,-1.0,-1.0
9,9,0.14442554449995348,0.1,-1.0,419.0,934.0,1.0,-753.0,0,-1.0,-1.0
10,10,-0.05807964713618208,-0.1,1.0,257.0,907.0,1.0,1226.0,1,-1.0,-1.0
11,11,-0.7360232041319069,-0.7,-1.0,470.0,645.0,0.0,3885.0,0,1.0,0.0
12,12,-0.535712181515245,-0.5,-1.0,304.0,982.0,0.0,3714.0,0,1.0,0.0
13,13,0.32519944391157873,0.3,1.0,381.0,815.0,1.0,344.0,1,1.0,1.0
14,14,0.6920696133849374,0.7,-1.0,367.0,946.0,0.0,3687.0,0,-1.0,0.0
15,15,-0.5353330669737104,-0.5,1.0,475.0,906.0,1.0,-751.0,1,-1.0,-1.0
16,16,-0.08823820134654958,-0.1,-1.0,306.0,587.0,0.0,4107.0,0,1.0,0.0
17,17,0.8226333035620238,0.8,1.0,426.0,528.0,1.0,156.0,1,1.0,1.0
18,18,0.6175554589155164,0.6,-1.0,265.0,997.0,0.0,3738.0,0,-1.0,0.0
19,19,0.042389976402943064,0.0,1.0,498.0,512.0,0.0,3990.0,0,1.0,0.0
20,20,0.5074756986871799,0.5,-1.0,254.0,922.0,1.0,-826.0,0,-1.0,-1.0
21,21,-0.054219891350658966,-0.1,1.0,371.0,940.0,1.0,1519.0,1,-1.0,-1.0
22,22,-0.5663996825418031,-0.6,1.0,291.0,742.0,1.0,57.0,1,-1.0,-1.0
23,23,-0.7703512729563946,-0.8,1.0,434.0,505.0,1.0,-279.0,1,-1.0,-1.0
24,24,0.3547676211892269,0.4,-1.0,260.0,650.0,1.0,-500.0,0,-1.0,-1.0
25,25,0.44173045105920317,0.4,-1.0,262.0,804.0,1.0,-586.0,0,-1.0,-1.0
26,26,-0.5706211745503618,-0.6,-1.0,316.0,597.0,0.0,4087.0,0,1.0,0.0
27,27,0.49595956618422876,0.5,-1.0,462.0,889.0,1.0,-731.0,0,-1.0,-1.0
28,28,-0.568974940721275,-0.6,1.0,438.0,864.0,1.0,198.0,1,-1.0,-1.0
29,29,-0.8239243463692952,-0.8,-1.0,364.0,954.0,0.0,3682.0,0,1.0,0.0
30,30,-0.06469190637099842,-0.1,1.0,451.0,876.0,1.0,1663.0,1,-1.0,-1.0
31,31,-0.7141339775275974,-0.7,-1.0,330.0,885.0,0.0,3785.0,0,1.0,0.0
32,32,-0.5301480685381519,-0.5,-1.0,413.0,503.0,0.0,4084.0,0,1.0,0.0
33,33,-0.47763382390419123,-0.5,-1.0,318.0,563.0,0.0,4119.0,0,1.0,0.0
34,34,0.7727739065654132,0.8,-1.0,318.0,644.0,0.0,4038.0,0,-1.0,0.0
35,35,0.5152356090089915,0.5,1.0,294.0,661.0,1.0,235.0,1,1.0,1.0
36,36,0.42583636732135044,0.4,1.0,347.0,508.0,1.0,455.0,1,1.0,1.0
37,37,0.7776410065306439,0.8,1.0,263.0,893.0,1.0,84.0,1,1.0,1.0
38,38,0.3026151973457619,0.3,-1.0,473.0,626.0,0.0,3901.0,0,-1.0,0.0
39,39,-0.7535818885907488,-0.8,-1.0,369.0,958.0,0.0,3673.0,0,1.0,0.0
40,40,-0.4927255532522895,-0.5,1.0,393.0,564.0,1.0,-97.0,1,-1.0,-1.0
41,41,0.6742177334986653,0.7,-1.0,275.0,509.0,1.0,-364.0,0,-1.0,-1.0
42,42,-0.7216440112919866,-0.7,-1.0,492.0,976.0,0.0,3532.0,0,1.0,0.0
43,43,0.33933680102859787,0.3,1.0,265.0,691.0,1.0,284.0,1,1.0,1.0
44,44,0.12769121552352736,0.1,1.0,251.0,533.0,1.0,836.0,1,1.0,1.0
45,45,0.6518344240237087,0.7,-1.0,330.0,851.0,0.0,3819.0,0,-1.0,0.0
46,46,0.5119597037273577,0.5,-1.0,299.0,742.0,0.0,3959.0,0,-1.0,0.0
47,47,-0.3275085516190114,-0.3,1.0,253.0,872.0,1.0,-545.0,1,-1.0,-1.0
48,48,-0.7540045000247066,-0.8,1.0,385.0,940.0,1.0,105.0,1,-1.0,-1.0
49,49,0.8878066399040548,0.9,-1.0,256.0,714.0,0.0,4030.0,0,-1.0,0.0
50,50,-0.20721776353287813,-0.2,1.0,417.0,808.0,1.0,-325.0,1,-1.0,-1.0
51,51,-0.832811582831415,-0.8,-1.0,308.0,517.0,0.0,4175.0,0,1.0,0.0
52,52,0.2643593247099475,0.3,-1.0,357.0,603.0,0.0,4040.0,0,-1.0,0.0
53,53,0.5478782953395042,0.5,-1.0,326.0,876.0,0.0,3798.0,0,-1.0,0.0
54,54,0.7747308362739725,0.8,1.0,459.0,626.0,1.0,145.0,1,1.0,1.0
55,55,0.32664155980082776,0.3,-1.0,302.0,715.0,1.0,-507.0,0,-1.0,-1.0
56,56,-0.5847419735556654,-0.6,1.0,284.0,503.0,1.0,153.0,1,-1.0,-1.0
57,57,-0.35015473246614925,-0.4,1.0,281.0,736.0,1.0,233.0,1,-1.0,-1.0
58,58,0.037425631732726505,0.0,-1.0,321.0,726.0,1.0,2293.0,0,-1.0,-1.0
59,59,-0.11411279093703319,-0.1,1.0,478.0,871.0,1.0,931.0,1,-1.0,-1.0
60,60,0.19633071696340754,0.2,1.0,400.0,798.0,1.0,522.0,1,1.0,1.0
