,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
0,0,0.2675584452345563,0.3,0,429.0,548.0,0.0,313.0,1,0.4496496296325533,0.0
1,1,0.8703631702376118,0.9,0,455.0,599.0,0.0,206.0,1,0.5669756758214488,0.0
2,2,-0.3904476847353999,-0.4,1,337.0,761.0,1.0,302.0,1,0.49934497466112526,0.0
3,3,-0.9557261517288527,-1.0,1,372.0,692.0,1.0,256.0,1,0.13996512366627079,0.0
4,4,-0.028030957947704493,-0.0,1,378.0,911.0,0.0,621.0,0,0.3958442042076782,0.0
5,5,0.46450926397489023,0.5,0,392.0,919.0,0.0,319.0,1,0.8436024395952813,0.0
6,6,0.16151415317069162,0.2,0,373.0,556.0,0.0,361.0,1,0.6114315683992517,0.0
7,7,-0.3181734437711623,-0.3,1,302.0,694.0,1.0,944.0,1,0.725037138446729,0.0
8,8,0.6100166031203753,0.6,0,455.0,702.0,0.0,373.0,1,0.2181340203487151,0.0
9,9,0.08774958320191639,0.1,0,390.0,730.0,0.0,410.0,1,0.6459291314142855,0.0
10,10,0.09836373610496207,0.1,0,335.0,705.0,0.0,1430.0,1,0.18533777667782825,0.0
11,11,0.7924817359855276,0.8,0,377.0,992.0,0.0,141.0,1,0.5070108938226752,0.0
12,12,0.1652358215269425,0.2,0,387.0,808.0,1.0,955.0,0,0.5016565207878217,0.0
13,13,0.7037425525860523,0.7,0,435.0,578.0,0.0,387.0,1,0.19324292240369967,0.0
14,14,0.5966852983192239,0.6,0,387.0,789.0,0.0,514.0,1,0.04617363463512125,0.0
15,15,0.06712314500541927,0.1,0,408.0,916.0,1.0,286.0,0,0.9992014332131277,0.0
16,16,0.5327205817967093,0.5,0,309.0,953.0,0.0,408.0,1,0.2780503042293958,0.0
17,17,0.4694062924961653,0.5,0,379.0,865.0,0.0,296.0,1,0.7436949305982563,0.0
18,18,0.15273511865538025,0.2,0,255.0,561.0,0.0,784.0,1,0.9687828679432069,0.0
19,19,-0.5787566972504594,-0.6,1,358.0,567.0,1.0,195.0,1,0.6447510838214008,0.0
20,20,0.08372205059771232,0.1,0,499.0,889.0,0.0,242.0,1,0.8369776777132083,0.0
21,21,0.5903615280292496,0.6,0,473.0,947.0,0.0,290.0,1,0.4008420927087055,0.0
22,22,0.13368658170129155,0.1,0,390.0,928.0,0.0,342.0,1,0.4604707007049935,0.0
23,23,0.15169258450679335,0.2,0,338.0,706.0,0.0,426.0,1,0.5475968554698422,0.0
24,24,-0.6643781154396908,-0.7,1,358.0,743.0,1.0,319.0,1,0.8826837333014462,0.0
25,25,-0.11528997635015159,-0.1,1,296.0,571.0,0.0,613.0,0,0.3714618973786479,0.0
26,26,-0.7854103179956866,-0.8,1,363.0,707.0,1.0,200.0,1,0.4683290150338315,0.0
27,27,-0.7656113079863869,-0.8,1,312.0,962.0,1.0,446.0,1,0.8184485981197459,0.0
28,28,0.46764336910407334,0.5,0,302.0,653.0,0.0,255.0,1,0.4766975719768132,0.0
29,29,0.9698217475082951,1.0,0,334.0,917.0,0.0,279.0,1,0.583935539153031,0.0
30,30,-0.3444274498806452,-0.3,1,282.0,948.0,1.0,380.0,1,0.5697676718050064,0.0
31,31,-0.6091053681922842,-0.6,1,360.0,819.0,1.0,361.0,1,0.13198503394497896,0.0
32,32,0.8145125230794119,0.8,0,275.0,860.0,0.0,195.0,1,0.3674385517099549,0.0
33,33,-0.012218182750671769,-0.0,1,408.0,561.0,1.0,371.0,1,0.2768852927724579,0.0
34,34,-0.9381400338235211,-0.9,1,277.0,957.0,1.0,226.0,1,0.5058440004283261,0.0
35,35,-0.9247256099303154,-0.9,1,265.0,621.0,1.0,254.0,1,0.26147479194423273,0.0
36,36,-0.7085115256016556,-0.7,1,390.0,755.0,1.0,265.0,1,0.5344491583433267,0.0
37,37,-0.7017934632706533,-0.7,1,257.0,562.0,1.0,161.0,1,0.7965330550909597,0.0
38,38,0.41001384269854046,0.4,0,469.0,973.0,0.0,208.0,1,0.7104696871012409,0.0
39,39,0.23858179945183355,0.2,0,437.0,685.0,0.0,488.0,1,0.3042567050381193,0.0
40,40,-0.428685987107863,-0.4,1,327.0,571.0,1.0,342.0,1,0.41064551690335216,0.0
41,41,-0.456208973740283,-0.5,1,322.0,995.0,1.0,363.0,1,0.7186521084314261,0.0
42,42,-0.2470972120266708,-0.2,1,490.0,773.0,0.0,437.0,0,0.4447035616359335,0.0
43,43,0.6866731247326596,0.7,0,472.0,906.0,0.0,172.0,1,0.988614517339105,0.0
44,44,0.12767012666181832,0.1,0,491.0,542.0,0.0,1227.0,1,0.1624240669825735,0.0
45,45,0.8817291018150872,0.9,0,308.0,656.0,0.0,246.0,1,0.03813630480429897,0.0
46,46,0.9876418396277495,1.0,0,386.0,572.0,0.0,172.0,1,0.4032004983481011,0.0
47,47,-0.16131746644544687,-0.2,1,299.0,573.0,1.0,648.0,1,0.5621770607877253,0.0
48,48,0.7135922210383439,0.7,0,380.0,571.0,0.0,199.0,1,0.7972786175088034,0.0
49,49,0.03638019055931596,0.0,0,286.0,851.0,0.0,703.0,1,0.7079139901397307,0.0
50,50,-0.07228332289905559,-0.1,1,400.0,573.0,0.0,767.0,0,0.07040856734387813,0.0
51,51,-0.48633119936916036,-0.5,1,426.0,726.0,1.0,448.0,1,0.5621541234108829,0.0
52,52,0.597458441575532,0.6,0,325.0,711.0,0.0,254.0,1,0.5115248698122371,0.0
