,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
0,0,-0.360509146475251,-0.4,1,456.0,746.0,0.0,-1202.0,0,0.5363168964508571,0.0
1,1,0.3634332950423498,0.4,0,315.0,619.0,0.0,-934.0,1,0.9570556824178146,0.0
2,2,-0.861535093960907,-0.9,1,414.0,768.0,0.0,-1182.0,0,0.93204740663277,0.0
3,3,0.8218265232729731,0.8,0,402.0,767.0,0.0,-1159.0,1,0.5536388914921511,0.0
4,4,0.33419461898072655,0.3,0,459.0,500.0,0.0,241.0,1,0.2711160187675171,0.0
5,5,-0.8554894257326828,-0.9,1,365.0,743.0,1.0,162.0,1,0.6849160134738288,0.0
6,6,-0.3040905906276776,-0.3,1,472.0,609.0,0.0,-1051.0,0,0.19979005931341165,0.0
7,7,0.8700718892143562,0.9,0,447.0,998.0,0.0,215.0,1,0.30629912485909916,0.0
8,8,0.16274899042318802,0.2,0,306.0,965.0,0.0,689.0,1,0.13203537155685718,0.0
9,9,0.6926380842576485,0.7,0,387.0,600.0,0.0,223.0,1,0.6631437612293702,0.0
10,10,0.5841989768655631,0.6,0,459.0,617.0,0.0,494.0,1,0.16686896917882477,0.0
11,11,-0.0831113722137351,-0.1,1,483.0,978.0,1.0,1119.0,1,0.14529762351987885,0.0
12,12,-0.44536746593041676,-0.4,1,378.0,616.0,1.0,186.0,1,0.34292887063340016,0.0
13,13,-0.9729812803426143,-1.0,1,434.0,820.0,1.0,236.0,1,0.8116609991493835,0.0
14,14,0.6552692538931693,0.7,0,323.0,555.0,0.0,-868.0,1,0.8277612411362287,0.0
15,15,0.5447846145057129,0.5,0,452.0,637.0,0.0,281.0,1,0.034744725906475704,0.0
16,16,0.6032319541328917,0.6,0,430.0,755.0,0.0,-1185.0,1,0.6628922085780906,0.0
17,17,-0.054868520502219464,-0.1,1,445.0,954.0,0.0,241.0,0,0.7169974152246266,0.0
18,18,0.3397733293624472,0.3,0,426.0,695.0,0.0,169.0,1,0.4763259648864715,0.0
19,19,0.797183476625126,0.8,0,383.0,644.0,0.0,203.0,1,0.18233656209989324,0.0
20,20,0.6833650761632508,0.7,0,325.0,538.0,0.0,237.0,1,0.0428846216367984,0.0
21,21,0.8396448776172456,0.8,0,273.0,837.0,0.0,330.0,1,0.0893388576208789,0.0
22,22,0.7133584554893784,0.7,0,264.0,952.0,0.0,224.0,1,0.11406522261189112,0.0
23,23,0.16082181188732303,0.2,0,405.0,909.0,0.0,1026.0,1,0.003546147460435911,0.0
24,24,-0.05627136337936678,-0.1,1,335.0,827.0,0.0,-1162.0,0,0.9521423255901913,0.0
25,25,0.9158706677184996,0.9,0,327.0,840.0,0.0,203.0,1,0.32088948630263303,0.0
26,26,-0.5286231270981938,-0.5,1,450.0,966.0,1.0,304.0,1,0.3392436388540099,0.0
27,27,-0.40439162300936693,-0.4,1,285.0,734.0,1.0,711.0,1,0.04503396105871815,0.0
28,28,0.1395639049864188,0.1,0,259.0,859.0,0.0,-1108.0,1,0.60735802276026,0.0
29,29,-0.6741838493415286,-0.7,1,394.0,688.0,0.0,-1082.0,0,0.46074870190024564,0.0
30,30,-0.8931414741335673,-0.9,1,253.0,568.0,0.0,-821.0,0,0.542535963315922,0.0
31,31,-0.3252608935691079,-0.3,1,462.0,871.0,0.0,307.0,0,0.32727382810162164,0.0
32,32,-0.6118713960834397,-0.6,1,326.0,942.0,1.0,412.0,1,0.022417630606868966,0.0
33,33,-0.4930748847444515,-0.5,1,342.0,779.0,1.0,429.0,1,0.7546401103212069,0.0
34,34,-0.2722452643084923,-0.3,1,283.0,507.0,0.0,-790.0,0,0.9187172785455536,0.0
35,35,0.29519753436287055,0.3,0,423.0,783.0,0.0,-1196.0,1,0.6371579431690046,0.0
36,36,0.3838590856542421,0.4,0,298.0,939.0,0.0,-1237.0,1,0.9675389971357328,0.0
37,37,-0.6867482153727771,-0.7,1,311.0,528.0,1.0,331.0,1,0.10875719494448133,0.0
38,38,0.20239106529125306,0.2,0,311.0,607.0,0.0,-918.0,1,0.3938933242689663,0.0
39,39,-0.017671556978483327,-0.0,1,317.0,928.0,0.0,525.0,0,0.19728332846548458,0.0
40,40,-0.1527181346340596,-0.2,1,321.0,710.0,0.0,229.0,0,0.3829657846359147,0.0
41,41,-0.8551121220874622,-0.9,1,338.0,949.0,1.0,323.0,1,0.18731287175031486,0.0
42,42,0.07499858746511401,0.1,0,390.0,504.0,0.0,346.0,1,0.03772658535855711,0.0
43,43,-0.8220409837636367,-0.8,1,290.0,943.0,0.0,-1233.0,0,0.8609400465220552,0.0
44,44,0.7893930262265381,0.8,0,402.0,564.0,0.0,-956.0,1,0.33869352077293136,0.0
45,45,0.3760309889746323,0.4,0,485.0,636.0,0.0,249.0,1,0.16507151735829628,0.0
46,46,-0.7207481174749353,-0.7,1,300.0,930.0,1.0,230.0,1,0.5258022769445407,0.0
47,47,0.7402108129957887,0.7,0,421.0,516.0,0.0,-927.0,1,0.8879456957803307,0.0
