,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0
0,0,-0.031092434332440133,-0.0,1,445.0,666.0,1.0,1969.0,1,0.46010246353705087
1,1,0.2208847383751722,0.2,0,310.0,671.0,0.0,629.0,1,0.30837529966337685
2,2,0.841606029237197,0.8,0,384.0,767.0,0.0,799.0,1,0.44317513993690016
3,3,-0.25245698445308284,-0.3,1,430.0,615.0,1.0,3955.0,1,0.4090910710811476
4,4,-0.5236026073482587,-0.5,1,308.0,945.0,1.0,807.0,1,0.10369180631883151
5,5,-0.46158826289795085,-0.5,1,334.0,946.0,1.0,1970.0,1,0.5026704202095311
6,6,-0.5410471873672775,-0.5,1,343.0,936.0,1.0,1541.0,1,0.25718752178322324
7,7,-0.7542827772868421,-0.8,1,379.0,826.0,1.0,415.0,1,0.9171022387351825
8,8,-0.6556788514077156,-0.7,1,473.0,976.0,1.0,391.0,1,0.41902927967777814
9,9,0.6376991393663991,0.6,0,252.0,954.0,0.0,1024.0,1,0.4163203983795678
10,10,-0.9693028517713014,-1.0,1,362.0,572.0,1.0,386.0,1,0.4260880241907493
11,11,0.9795547406631622,1.0,0,473.0,524.0,0.0,373.0,1,0.5256625036154813
12,12,0.02140637733026618,0.0,0,473.0,813.0,0.0,3714.0,1,0.18894029601462986
13,13,0.5028908809765293,0.5,0,474.0,677.0,0.0,2619.0,1,0.26003113462796723
14,14,-0.6042189660036188,-0.6,1,410.0,618.0,1.0,672.0,1,0.1865243793231598
15,15,-0.3688725471096188,-0.4,1,385.0,519.0,1.0,1476.0,1,0.22243989108093193
16,16,0.026465122748692727,0.0,0,298.0,993.0,0.0,3709.0,1,0.7565849285133913
17,17,0.9014154985037208,0.9,0,401.0,931.0,0.0,498.0,1,0.8687747852859704
18,18,-0.6832705475764462,-0.7,1,288.0,812.0,1.0,1510.0,1,0.4046277079893239
19,19,-0.7067111901880248,-0.7,1,379.0,663.0,1.0,638.0,1,0.6279031427874032
20,20,0.7425504429923673,0.7,0,298.0,530.0,0.0,882.0,1,0.19529372514882526
21,21,-0.217661791957648,-0.2,1,413.0,724.0,1.0,1173.0,1,0.8594713278944618
22,22,0.7776705548393565,0.8,0,482.0,517.0,0.0,931.0,1,0.30370240054460385
23,23,0.7431932357342492,0.7,0,339.0,888.0,0.0,483.0,1,0.8478356457130537
24,24,0.5835352914523579,0.6,0,304.0,970.0,0.0,1606.0,1,0.4679300234694991
25,25,0.06838231024760466,0.1,0,284.0,654.0,1.0,4062.0,0,0.7051523762442472
26,26,0.943832022649921,0.9,0,342.0,607.0,0.0,601.0,1,0.5296172886618453
27,27,-0.4490277907173328,-0.4,1,370.0,936.0,1.0,664.0,1,0.4059439219010642
28,28,0.29645799457392075,0.3,0,286.0,599.0,0.0,3785.0,1,0.6464057170850831
29,29,-0.06799171356191125,-0.1,1,300.0,886.0,1.0,3344.0,1,0.5268822749891418
30,30,-0.5361078860021202,-0.5,1,344.0,678.0,1.0,538.0,1,0.3531040097751964
31,31,0.14861256713937165,0.1,0,403.0,985.0,1.0,3612.0,0,0.23086248496315404
32,32,0.19940472079154747,0.2,0,487.0,856.0,0.0,2687.0,1,0.5704708557037194
33,33,-0.18647012477244074,-0.2,1,326.0,790.0,1.0,3204.0,1,0.38342021790602154
34,34,-0.354922858081939,-0.4,1,305.0,854.0,1.0,631.0,1,0.4173768699125421
35,35,-0.07765521653447971,-0.1,1,424.0,703.0,1.0,1633.0,1,0.39796547412357275
36,36,0.3780112551870789,0.4,0,369.0,836.0,0.0,2125.0,1,0.15550351123771547
37,37,-0.834793364615892,-0.8,1,342.0,686.0,1.0,392.0,1,0.7635951845286254
38,38,-0.8991319939600528,-0.9,1,377.0,771.0,1.0,732.0,1,0.6944250830195969
39,39,-0.11933502710904853,-0.1,1,455.0,843.0,1.0,1922.0,1,0.5444035404811389
40,40,0.6199801300504508,0.6,0,389.0,620.0,0.0,1311.0,1,0.11097274909335508
41,41,0.553549639365984,0.6,0,380.0,518.0,0.0,942.0,1,0.5556513635788333
42,42,0.9012044978431775,0.9,0,351.0,564.0,0.0,355.0,1,0.5524120642897947
43,43,-0.6647188156184529,-0.7,1,429.0,523.0,1.0,868.0,1,0.412566838307982
44,44,0.5472042701761364,0.5,0,432.0,522.0,0.0,1166.0,1,0.5949727283514686
45,45,-0.5347269062825559,-0.5,1,360.0,692.0,1.0,508.0,1,0.9939185469011986
46,46,0.07769639620226187,0.1,0,370.0,947.0,0.0,373.0,1,0.8393918240271164
47,47,-0.6025205850209989,-0.6,1,475.0,995.0,1.0,530.0,1,0.12648068428402226
48,48,-0.7225606046467976,-0.7,1,277.0,548.0,1.0,405.0,1,0.6759226940505247
49,49,-0.40277129442343007,-0.4,1,266.0,654.0,1.0,1600.0,1,0.6123528582534755
50,50,-0.16801140923139912,-0.2,1,328.0,943.0,1.0,1289.0,1,0.8222188216700596
51,51,-0.9100498885885471,-0.9,1,276.0,831.0,1.0,713.0,1,0.27504330356323825
52,52,0.09496003639726691,0.1,0,449.0,899.0,0.0,2032.0,1,0.7956542060277807
53,53,-0.804124618080341,-0.8,1,279.0,855.0,1.0,736.0,1,0.13293952270898476
54,54,0.09019206668916069,0.1,0,411.0,910.0,0.0,1279.0,1,0.38315414452884244
55,55,0.9874779499271504,1.0,0,456.0,814.0,0.0,320.0,1,0.5546429741288799
56,56,-0.03961602937389985,-0.0,1,427.0,760.0,0.0,923.0,0,0.31113457113244375
57,57,-0.2724311869927192,-0.3,1,307.0,831.0,1.0,2852.0,1,0.10480610276098244
58,58,-0.5413265506378162,-0.5,1,470.0,786.0,1.0,1984.0,1,0.3006028322550494
59,59,0.13419788429620438,0.1,0,410.0,756.0,0.0,3504.0,1,0.7663040244367547
60,60,0.5448843341092762,0.5,0,368.0,593.0,0.0,559.0,1,0.20281829267166235
61,61,-0.05364559278557168,-0.1,1,415.0,552.0,0.0,4033.0,0,0.2626026730596645
62,62,0.33007981020535726,0.3,0,362.0,567.0,0.0,721.0,1,0.3411663520377759
63,63,0.8195880341963413,0.8,0,428.0,712.0,0.0,1020.0,1,0.7622309613002279
64,64,0.12277436270187003,0.1,0,342.0,559.0,1.0,1769.0,0,0.6941151195558839
65,65,0.8578875489841757,0.9,0,459.0,981.0,0.0,160.0,1,0.8820935023255683
66,66,-0.8828602656286253,-0.9,1,351.0,920.0,1.0,569.0,1,0.1385194325053647
67,67,0.763357090303294,0.8,0,431.0,561.0,0.0,458.0,1,0.9983766651561334
68,68,-0.1316948793638395,-0.1,1,360.0,558.0,1.0,3622.0,1,0.2790040224789742
69,69,0.8650452520880103,0.9,0,494.0,911.0,0.0,705.0,1,0.2127311234956758
70,70,-0.030620867056269097,-0.0,1,471.0,857.0,1.0,1712.0,1,0.8457538648593191
71,71,-0.7233212013920591,-0.7,1,390.0,523.0,1.0,317.0,1,0.8043978240320436
72,72,0.6014827523663595,0.6,0,477.0,508.0,0.0,1105.0,1,0.7314415628957152
73,73,-0.24550282367359788,-0.2,1,465.0,846.0,1.0,1059.0,1,0.8571571949088105
74,74,0.11133803273918463,0.1,0,276.0,541.0,0.0,1003.0,1,0.1384146399778552
75,75,-0.45071747504550785,-0.5,1,449.0,952.0,1.0,1079.0,1,0.3524507563932495
76,76,-0.24051666103991964,-0.2,1,257.0,888.0,1.0,2435.0,1,0.5444425195789551
77,77,-0.576722194453448,-0.6,1,416.0,957.0,1.0,697.0,1,0.612538410925399
78,78,-0.4151620699160612,-0.4,1,327.0,764.0,1.0,369.0,1,0.6433033351069493
79,79,-0.5457063459371441,-0.5,1,262.0,769.0,1.0,399.0,1,0.9773716484990922
80,80,0.1094907210158318,0.1,0,459.0,703.0,1.0,868.0,0,0.38128796672461374
81,81,0.6302388414911426,0.6,0,254.0,856.0,0.0,940.0,1,0.9927229314495971
82,82,-0.8357218351705145,-0.8,1,479.0,856.0,1.0,875.0,1,0.28341974943951764
83,83,-0.6007416571435287,-0.6,1,310.0,890.0,1.0,690.0,1,0.3484248184310045
84,84,-0.9073422631643309,-0.9,1,468.0,876.0,1.0,376.0,1,0.9184689832003591
85,85,-0.5634801270577046,-0.6,1,474.0,749.0,1.0,797.0,1,0.21052410637805952
86,86,0.5953062571921892,0.6,0,328.0,622.0,0.0,230.0,1,0.8679738544084942
87,87,0.9688239436336796,1.0,0,437.0,511.0,0.0,1112.0,1,0.4093013060360071
88,88,0.1618614744905209,0.2,0,455.0,621.0,1.0,3924.0,0,0.5054849621872562
89,89,0.9472299536383249,0.9,0,383.0,588.0,0.0,619.0,1,0.7873117991758009
90,90,0.6831439968461552,0.7,0,451.0,944.0,0.0,685.0,1,0.5222788344292002
91,91,0.23679410973184956,0.2,0,360.0,536.0,0.0,2474.0,1,0.9255532851297495
92,92,0.27207394068699453,0.3,0,413.0,836.0,0.0,561.0,1,0.33058759042348695
93,93,0.3063249753964825,0.3,0,275.0,557.0,0.0,1468.0,1,0.5941310733147394
94,94,0.0641245757183404,0.1,0,307.0,646.0,0.0,3547.0,1,0.1553899252719813
95,95,0.3811946707156173,0.4,0,269.0,851.0,0.0,520.0,1,0.6342177712983865
96,96,0.40494339918717914,0.4,0,457.0,988.0,0.0,355.0,1,0.599868898967214
97,97,-0.5213345946895069,-0.5,1,408.0,932.0,1.0,490.0,1,0.7327488858254902
98,98,0.8919408201548122,0.9,0,328.0,609.0,0.0,383.0,1,0.33525512149575387
99,99,-0.8232766097319526,-0.8,1,323.0,638.0,1.0,529.0,1,0.9183661670364348
100,100,-0.07033871479356124,-0.1,1,290.0,742.0,1.0,2048.0,1,0.7875140009752912
101,101,0.2547716531015276,0.3,0,255.0,847.0,0.0,988.0,1,0.8323159931455747
102,102,0.8758422483695849,0.9,0,415.0,865.0,0.0,440.0,1,0.3964480232803582
103,103,-0.839892677502726,-0.8,1,346.0,622.0,1.0,312.0,1,0.4059241120831816
104,104,0.2743268434259132,0.3,0,305.0,916.0,0.0,929.0,1,0.8139573020698287
105,105,0.8482895382660758,0.8,0,440.0,670.0,0.0,370.0,1,0.7767397923073974
106,106,0.12877589894105546,0.1,0,290.0,876.0,1.0,3834.0,0,0.14580806801087337
107,107,0.4192184680017941,0.4,0,441.0,767.0,0.0,1312.0,1,0.21394140356856672
108,108,-0.219328812732551,-0.2,1,370.0,537.0,1.0,1513.0,1,0.3541150826195556
109,109,-0.49344534255087136,-0.5,1,409.0,952.0,1.0,729.0,1,0.5560695379308114
110,110,0.4704736246598986,0.5,0,283.0,723.0,0.0,254.0,1,0.38912164627007495
111,111,-0.2766379055805759,-0.3,1,425.0,788.0,1.0,867.0,1,0.8741787998090991
112,112,0.462613804375291,0.5,0,448.0,578.0,0.0,3794.0,1,0.4752078559850871
113,113,-0.6160154958154225,-0.6,1,440.0,617.0,1.0,553.0,1,0.7565043600938535
114,114,0.17100461060386318,0.2,0,337.0,832.0,0.0,1051.0,1,0.43195177686871156
115,115,-0.3627502320660303,-0.4,1,349.0,768.0,1.0,1303.0,1,0.1910910810386644
116,116,0.4910739900401979,0.5,0,339.0,819.0,0.0,592.0,1,0.6215707636647139
117,117,0.017765109310080573,0.0,0,422.0,870.0,1.0,3708.0,0,0.3803290785943354
118,118,-0.48027645942015207,-0.5,1,497.0,506.0,1.0,777.0,1,0.7796677173876707
