,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,-0.1305879801478732,-0.1,1.0,0.0,255.0,885.0,1.0,1,-690.0,0
1,1,0.7418702380126524,0.7,1.0,1.0,435.0,775.0,1.0,1,40.0,1
2,2,-0.14684788309397634,-0.1,0.0,1.0,424.0,576.0,0.0,1,-180.0,0
3,3,0.41086284622876057,0.4,1.0,1.0,439.0,544.0,1.0,1,-803.0,1
4,4,0.34353464903755515,0.3,0.0,0.0,295.0,856.0,0.0,1,-331.0,1
5,5,-0.5775107827491262,-0.6,1.0,0.0,406.0,770.0,1.0,1,-96.0,0
6,6,-0.5533911665689757,-0.6,1.0,0.0,322.0,803.0,0.0,0,55.0,1
7,7,-0.5105441969021249,-0.5,0.0,1.0,327.0,678.0,0.0,1,-795.0,0
8,8,0.4699548899279077,0.5,0.0,0.0,275.0,805.0,1.0,0,-1050.0,0
9,9,0.8430427862051041,0.8,0.0,0.0,292.0,589.0,1.0,0,209.0,0
10,10,0.24738693226069952,0.2,1.0,1.0,268.0,864.0,0.0,0,-672.0,0
11,11,-0.04455133263650346,-0.0,1.0,0.0,283.0,549.0,0.0,0,108.0,1
12,12,-0.6302499341079026,-0.6,0.0,1.0,485.0,649.0,0.0,1,-704.0,0
13,13,-0.16443692816823097,-0.2,0.0,1.0,401.0,701.0,0.0,1,108.0,0
14,14,-0.3093519241264314,-0.3,1.0,0.0,492.0,604.0,1.0,1,64.0,0
15,15,0.09496021437158364,0.1,0.0,0.0,471.0,893.0,1.0,0,36.0,0
16,16,0.2152294554930595,0.2,1.0,1.0,339.0,671.0,1.0,1,230.0,1
17,17,0.14302072862776793,0.1,1.0,1.0,432.0,995.0,1.0,1,33.0,1
18,18,-0.76922804370654,-0.8,1.0,0.0,374.0,561.0,1.0,1,35.0,0
19,19,-0.704883042931565,-0.7,0.0,1.0,317.0,587.0,1.0,0,86.0,1
20,20,0.5688330012585326,0.6,0.0,0.0,400.0,814.0,0.0,1,96.0,1
21,21,0.07978014650011533,0.1,0.0,0.0,301.0,564.0,0.0,1,355.0,1
22,22,0.6036351888986481,0.6,1.0,1.0,278.0,953.0,1.0,1,-401.0,1
23,23,0.07069541031267157,0.1,1.0,1.0,332.0,996.0,1.0,1,122.0,1
24,24,-0.35123357684950895,-0.4,0.0,1.0,413.0,998.0,0.0,1,-361.0,0
25,25,-0.44416098352611805,-0.4,0.0,1.0,406.0,627.0,0.0,1,177.0,0
26,26,-0.8623588799555106,-0.9,1.0,0.0,310.0,728.0,0.0,0,12.0,1
27,27,-0.6650571379349383,-0.7,0.0,1.0,468.0,680.0,0.0,1,-168.0,0
28,28,-0.39509553449302726,-0.4,0.0,1.0,419.0,608.0,1.0,0,63.0,1
29,29,-0.28047491954665815,-0.3,0.0,1.0,387.0,798.0,1.0,0,385.0,1
30,30,-0.4904838986644499,-0.5,0.0,1.0,331.0,718.0,0.0,1,-49.0,0
31,31,-0.05500494362041042,-0.1,0.0,1.0,480.0,975.0,0.0,1,-55.0,0
32,32,0.714840243015289,0.7,0.0,0.0,428.0,708.0,0.0,1,44.0,1
33,33,0.588425798027416,0.6,1.0,1.0,401.0,940.0,1.0,1,-171.0,1
34,34,-0.65891596480698,-0.7,1.0,0.0,466.0,884.0,1.0,1,-50.0,0
35,35,0.5110706677258942,0.5,1.0,1.0,372.0,568.0,1.0,1,80.0,1
36,36,0.4680005059073685,0.5,1.0,1.0,465.0,794.0,1.0,1,11.0,1
37,37,0.43205739146706057,0.4,1.0,1.0,266.0,515.0,1.0,1,-41.0,1
38,38,0.7297758191496341,0.7,1.0,1.0,400.0,571.0,1.0,1,199.0,1
39,39,0.27731077792216696,0.3,0.0,0.0,287.0,800.0,1.0,0,53.0,0
40,40,-0.16747700789009978,-0.2,1.0,0.0,425.0,608.0,1.0,1,-1013.0,0
41,41,-0.5574132752683552,-0.6,1.0,0.0,479.0,627.0,1.0,1,-246.0,0
42,42,0.7581292423552769,0.8,1.0,1.0,291.0,687.0,1.0,1,-238.0,1
43,43,-0.749033315130885,-0.7,0.0,1.0,310.0,834.0,1.0,0,126.0,1
44,44,-0.8527207554143409,-0.9,1.0,0.0,381.0,744.0,1.0,1,-225.0,0
45,45,-0.48553829089105266,-0.5,0.0,1.0,452.0,767.0,0.0,1,-109.0,0
46,46,-0.8814053021268751,-0.9,1.0,0.0,254.0,943.0,0.0,0,23.0,1
47,47,0.5871407835519783,0.6,0.0,0.0,456.0,889.0,0.0,1,-605.0,1
48,48,-0.22750192994899066,-0.2,0.0,1.0,343.0,590.0,1.0,0,77.0,1
49,49,-0.3212734969160357,-0.3,1.0,0.0,298.0,710.0,1.0,1,72.0,0
50,50,-0.7532485478289557,-0.8,1.0,0.0,415.0,530.0,0.0,0,-895.0,1
