,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,0.15015004047002634,0.2,1.0,1.0,392.0,815.0,1.0,1,293.0,1
1,1,0.4612854443018314,0.5,0.0,0.0,393.0,997.0,0.0,1,60.0,1
2,2,0.3803290583163924,0.4,0.0,0.0,447.0,834.0,0.0,1,179.0,1
3,3,-0.4364421445552525,-0.4,0.0,1.0,416.0,537.0,1.0,0,357.0,1
4,4,0.6341392015597661,0.6,0.0,0.0,477.0,544.0,0.0,1,179.0,1
5,5,0.14684414631745513,0.1,1.0,1.0,354.0,609.0,1.0,1,267.0,1
6,6,-0.6684902740430154,-0.7,1.0,0.0,260.0,559.0,0.0,0,211.0,1
7,7,-0.6799687486624886,-0.7,0.0,1.0,455.0,988.0,1.0,0,277.0,1
8,8,0.4930414137009983,0.5,1.0,1.0,304.0,691.0,1.0,1,175.0,1
9,9,0.4291403657576486,0.4,1.0,1.0,293.0,999.0,1.0,1,258.0,1
10,10,0.321712231571491,0.3,0.0,0.0,488.0,729.0,0.0,1,33.0,1
11,11,0.04879116458815658,0.0,1.0,1.0,306.0,820.0,1.0,1,404.0,1
12,12,0.5288395180000139,0.5,0.0,0.0,302.0,692.0,0.0,1,256.0,1
13,13,0.7204592112467977,0.7,1.0,1.0,295.0,760.0,1.0,1,175.0,1
14,14,0.7358355446612502,0.7,0.0,0.0,395.0,874.0,0.0,1,51.0,1
15,15,0.42256558095869867,0.4,1.0,1.0,450.0,897.0,1.0,1,233.0,1
16,16,0.30982580141749094,0.3,1.0,1.0,345.0,882.0,1.0,1,233.0,1
17,17,0.8359397908135723,0.8,0.0,0.0,348.0,731.0,0.0,1,181.0,1
18,18,0.07706787437893559,0.1,0.0,0.0,384.0,553.0,1.0,0,473.0,0
19,19,-0.6900527104456617,-0.7,1.0,0.0,349.0,822.0,0.0,0,119.0,1
20,20,0.25223370258295097,0.3,1.0,1.0,261.0,830.0,1.0,1,319.0,1
21,21,-0.2638212103075044,-0.3,0.0,1.0,409.0,631.0,1.0,0,460.0,1
22,22,-0.8913295682203297,-0.9,1.0,0.0,372.0,629.0,0.0,0,189.0,1
23,23,0.7878526153982551,0.8,1.0,1.0,404.0,539.0,1.0,1,197.0,1
24,24,-0.8273079454092584,-0.8,1.0,0.0,333.0,592.0,0.0,0,185.0,1
25,25,-0.18979319451009935,-0.2,1.0,0.0,489.0,777.0,0.0,0,284.0,1
26,26,-0.7433920698660875,-0.7,1.0,0.0,493.0,651.0,0.0,0,206.0,1
27,27,-0.5822675788054983,-0.6,0.0,1.0,488.0,780.0,1.0,0,212.0,1
28,28,0.1614157714434229,0.2,1.0,1.0,475.0,585.0,1.0,1,150.0,1
29,29,0.4177388017859641,0.4,0.0,0.0,487.0,779.0,0.0,1,144.0,1
30,30,-0.14754000361953779,-0.1,1.0,0.0,470.0,762.0,0.0,0,368.0,1
31,31,0.5730423704242583,0.6,0.0,0.0,457.0,680.0,0.0,1,123.0,1
32,32,-0.6013723153561447,-0.6,0.0,1.0,321.0,612.0,1.0,0,427.0,1
33,33,-0.045891530325521734,-0.0,1.0,0.0,471.0,767.0,1.0,1,212.0,0
