,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,-0.7243746494345501,-0.7,0.0,1.0,274.0,654.0,1.0,0,292.0,1
1,1,0.6448882478932946,0.6,1.0,1.0,367.0,901.0,1.0,1,272.0,1
2,2,0.07692352859302065,0.1,0.0,0.0,260.0,839.0,0.0,1,341.0,1
3,3,-0.8219798029312627,-0.8,1.0,0.0,356.0,935.0,0.0,0,359.0,1
4,4,-0.7070104230472372,-0.7,1.0,0.0,283.0,698.0,0.0,0,379.0,1
5,5,-0.8775872396320159,-0.9,0.0,1.0,477.0,942.0,1.0,0,201.0,1
6,6,-0.4880496487254167,-0.5,1.0,0.0,325.0,986.0,1.0,1,-11.0,0
7,7,-0.587351062039682,-0.6,0.0,1.0,400.0,635.0,1.0,0,235.0,1
8,8,-0.8885838956913087,-0.9,0.0,1.0,399.0,799.0,1.0,0,302.0,1
9,9,-0.08991471605364854,-0.1,0.0,1.0,277.0,667.0,1.0,0,586.0,1
10,10,-0.7262008411944771,-0.7,0.0,1.0,405.0,532.0,1.0,0,333.0,1
11,11,-0.010315768993220176,-0.0,1.0,0.0,319.0,540.0,1.0,1,1411.0,0
12,12,0.47522020701025813,0.5,0.0,0.0,367.0,687.0,0.0,1,506.0,1
13,13,0.07922051280670428,0.1,0.0,0.0,453.0,723.0,1.0,0,294.0,0
14,14,-0.20091796537588213,-0.2,0.0,1.0,320.0,647.0,1.0,0,573.0,1
15,15,-0.6472932037712318,-0.6,0.0,1.0,260.0,882.0,1.0,0,48.0,1
16,16,0.0910743598450553,0.1,0.0,0.0,279.0,830.0,0.0,1,501.0,1
17,17,-0.8835711466358983,-0.9,1.0,0.0,355.0,781.0,0.0,0,274.0,1
18,18,-0.21050153543175143,-0.2,0.0,1.0,354.0,773.0,1.0,0,273.0,1
19,19,-0.8423207379551628,-0.8,0.0,1.0,306.0,675.0,1.0,0,289.0,1
20,20,-0.49978330145312305,-0.5,0.0,1.0,261.0,549.0,1.0,0,650.0,1
21,21,-0.1294830716276557,-0.1,1.0,0.0,285.0,603.0,0.0,0,942.0,1
22,22,-0.7423218843427808,-0.7,0.0,1.0,406.0,971.0,1.0,0,123.0,1
23,23,0.19853663823801704,0.2,1.0,1.0,467.0,537.0,1.0,1,496.0,1
24,24,0.7520856832925006,0.8,1.0,1.0,444.0,500.0,1.0,1,456.0,1
25,25,-0.4132251349870824,-0.4,1.0,0.0,256.0,812.0,0.0,0,902.0,1
26,26,0.06874620882691884,0.1,1.0,1.0,365.0,835.0,1.0,1,1740.0,1
27,27,0.14852887431146244,0.1,1.0,1.0,272.0,984.0,1.0,1,404.0,1
28,28,-0.2294297934449694,-0.2,0.0,1.0,336.0,638.0,1.0,0,466.0,1
29,29,0.03186852780785421,0.0,1.0,1.0,284.0,744.0,1.0,1,572.0,1
30,30,-0.08616933212830058,-0.1,1.0,0.0,364.0,993.0,0.0,0,233.0,1
31,31,-0.18284569014282215,-0.2,0.0,1.0,389.0,578.0,1.0,0,553.0,1
32,32,0.586409594889845,0.6,1.0,1.0,364.0,545.0,1.0,1,401.0,1
33,33,0.34023749351751975,0.3,0.0,0.0,267.0,587.0,0.0,1,576.0,1
34,34,0.6656812344798112,0.7,1.0,1.0,456.0,926.0,1.0,1,328.0,1
35,35,0.5461993935413759,0.5,0.0,0.0,250.0,960.0,0.0,1,320.0,1
36,36,0.8868187673462943,0.9,0.0,0.0,359.0,626.0,0.0,1,565.0,1
37,37,0.7388716845722977,0.7,0.0,0.0,476.0,762.0,0.0,1,252.0,1
38,38,0.7781832624577122,0.8,1.0,1.0,309.0,532.0,1.0,1,449.0,1
39,39,0.6905108347343286,0.7,0.0,0.0,306.0,880.0,0.0,1,184.0,1
40,40,-0.7211074721209261,-0.7,1.0,0.0,414.0,754.0,0.0,0,252.0,1
41,41,-0.6549309674425281,-0.7,1.0,0.0,364.0,741.0,0.0,0,295.0,1
42,42,0.4871802893513023,0.5,1.0,1.0,373.0,993.0,1.0,1,174.0,1
43,43,0.6930470798160396,0.7,0.0,0.0,380.0,613.0,0.0,1,437.0,1
44,44,-0.6932913019463083,-0.7,1.0,0.0,423.0,767.0,0.0,0,340.0,1
45,45,-0.8269933742774342,-0.8,0.0,1.0,462.0,835.0,1.0,0,113.0,1
46,46,-0.6296107370644585,-0.6,1.0,0.0,430.0,960.0,0.0,0,410.0,1
47,47,0.17863309931086924,0.2,0.0,0.0,330.0,903.0,0.0,1,817.0,1
48,48,-0.8692106306360557,-0.9,0.0,1.0,336.0,638.0,1.0,0,326.0,1
49,49,0.1475587664496233,0.1,0.0,0.0,335.0,629.0,1.0,0,1276.0,0
50,50,-0.7552457320094226,-0.8,1.0,0.0,372.0,501.0,0.0,0,727.0,1
51,51,-0.7638540478879667,-0.8,0.0,1.0,463.0,701.0,1.0,0,516.0,1
52,52,-0.493310433588097,-0.5,0.0,1.0,397.0,718.0,1.0,0,305.0,1
53,53,-0.06934709403325101,-0.1,0.0,1.0,293.0,927.0,0.0,1,1440.0,0
54,54,-0.8515489799401518,-0.9,0.0,1.0,344.0,620.0,1.0,0,376.0,1
55,55,0.08455687682424018,0.1,1.0,1.0,496.0,989.0,1.0,1,165.0,1
56,56,-0.87939615150714,-0.9,0.0,1.0,334.0,758.0,1.0,0,28.0,1
57,57,-0.12301401957905633,-0.1,0.0,1.0,292.0,581.0,1.0,0,507.0,1
58,58,-0.7932692627175276,-0.8,1.0,0.0,392.0,879.0,0.0,0,499.0,1
59,59,-0.33992662606113,-0.3,1.0,0.0,466.0,737.0,0.0,0,537.0,1
60,60,-0.04665215161932301,-0.0,1.0,0.0,401.0,684.0,0.0,0,865.0,1
61,61,-0.20741414415322246,-0.2,1.0,0.0,317.0,585.0,0.0,0,3088.0,1
