,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,0.6522022123457175,0.7,0.0,0.0,331.0,509.0,0.0,1,650.0,1
1,1,-0.30833062730997307,-0.3,1.0,0.0,433.0,790.0,0.0,0,347.0,1
2,2,-0.8204752175016721,-0.8,0.0,1.0,373.0,971.0,1.0,0,146.0,1
3,3,0.8597201202603962,0.9,0.0,0.0,372.0,919.0,0.0,1,219.0,1
4,4,0.8631923183401063,0.9,0.0,0.0,286.0,901.0,0.0,1,93.0,1
5,5,-0.7105536030001776,-0.7,1.0,0.0,498.0,695.0,0.0,0,237.0,1
6,6,0.15572261477684746,0.2,1.0,1.0,432.0,851.0,1.0,1,347.0,1
7,7,-0.5244061380709489,-0.5,0.0,1.0,412.0,608.0,1.0,0,350.0,1
8,8,0.4303820983897483,0.4,1.0,1.0,297.0,829.0,1.0,1,314.0,1
9,9,0.4805834120121967,0.5,0.0,0.0,376.0,544.0,0.0,1,360.0,1
10,10,-0.19519559016102506,-0.2,1.0,0.0,374.0,941.0,0.0,0,125.0,1
11,11,-0.5495158333594377,-0.5,1.0,0.0,439.0,732.0,0.0,0,359.0,1
12,12,0.2005210604967932,0.2,1.0,1.0,449.0,675.0,1.0,1,306.0,1
13,13,0.7652802550830432,0.8,0.0,0.0,439.0,609.0,0.0,1,292.0,1
14,14,0.8732855775456089,0.9,1.0,1.0,444.0,791.0,1.0,1,85.0,1
15,15,-0.015588970574170191,-0.0,0.0,1.0,476.0,817.0,1.0,0,1197.0,1
16,16,-0.24183581567709622,-0.2,0.0,1.0,467.0,732.0,1.0,0,291.0,1
17,17,-0.5259221479175389,-0.5,1.0,0.0,296.0,920.0,0.0,0,244.0,1
18,18,0.05718435659224208,0.1,0.0,0.0,405.0,661.0,0.0,1,104.0,1
19,19,0.16806043303294438,0.2,0.0,0.0,402.0,530.0,0.0,1,278.0,1
20,20,-0.2764958219646564,-0.3,1.0,0.0,425.0,602.0,0.0,0,433.0,1
21,21,0.8636818288501472,0.9,1.0,1.0,337.0,841.0,1.0,1,222.0,1
22,22,-0.6353671097805704,-0.6,0.0,1.0,495.0,501.0,1.0,0,344.0,1
23,23,-0.5834958742839165,-0.6,1.0,0.0,408.0,977.0,0.0,0,305.0,1
24,24,0.5875932998187176,0.6,0.0,0.0,268.0,752.0,0.0,1,410.0,1
25,25,-0.8433010895000077,-0.8,0.0,1.0,476.0,840.0,1.0,0,224.0,1
26,26,-0.27277480403886556,-0.3,0.0,1.0,362.0,626.0,1.0,0,442.0,1
27,27,0.33734680812114315,0.3,1.0,1.0,494.0,783.0,1.0,1,503.0,1
28,28,-0.5698150099447128,-0.6,0.0,1.0,263.0,519.0,1.0,0,328.0,1
29,29,-0.5450461835072028,-0.5,1.0,0.0,460.0,518.0,0.0,0,482.0,1
30,30,-0.2179885100167549,-0.2,1.0,0.0,276.0,653.0,0.0,0,521.0,1
31,31,-0.15141624661282727,-0.2,0.0,1.0,282.0,937.0,1.0,0,1181.0,1
32,32,-0.30841865522463985,-0.3,1.0,0.0,300.0,738.0,0.0,0,302.0,1
33,33,-0.0982441921806142,-0.1,1.0,0.0,415.0,772.0,0.0,0,583.0,1
34,34,-0.6853405363251691,-0.7,0.0,1.0,260.0,767.0,1.0,0,303.0,1
35,35,-0.06510709517323232,-0.1,1.0,0.0,488.0,579.0,0.0,0,543.0,1
36,36,-0.6729272527234346,-0.7,1.0,0.0,328.0,710.0,0.0,0,222.0,1
37,37,0.4777906282719969,0.5,0.0,0.0,283.0,879.0,0.0,1,288.0,1
38,38,0.8555936412709598,0.9,0.0,0.0,473.0,640.0,0.0,1,267.0,1
39,39,-0.8851434177903765,-0.9,0.0,1.0,435.0,552.0,1.0,0,473.0,1
40,40,0.4550435914594374,0.5,1.0,1.0,400.0,800.0,1.0,1,150.0,1
41,41,0.6538409487305533,0.7,1.0,1.0,452.0,892.0,1.0,1,186.0,1
42,42,-0.6538206620413413,-0.7,1.0,0.0,330.0,959.0,0.0,0,111.0,1
43,43,0.26818379188335484,0.3,1.0,1.0,460.0,801.0,1.0,1,319.0,1
44,44,-0.8249214527595732,-0.8,0.0,1.0,368.0,885.0,1.0,0,117.0,1
45,45,0.6813235862504617,0.7,0.0,0.0,271.0,772.0,0.0,1,217.0,1
46,46,0.6409226423779094,0.6,0.0,0.0,437.0,539.0,0.0,1,384.0,1
47,47,-0.7834944570692484,-0.8,0.0,1.0,303.0,716.0,1.0,0,351.0,1
48,48,-0.3292971782505155,-0.3,0.0,1.0,369.0,569.0,1.0,0,272.0,1
49,49,0.2921815404663449,0.3,0.0,0.0,273.0,528.0,0.0,1,519.0,1
50,50,-0.7880092933028244,-0.8,0.0,1.0,404.0,613.0,1.0,0,413.0,1
51,51,0.4428798020091401,0.4,1.0,1.0,484.0,849.0,1.0,1,117.0,1
52,52,0.6878557179244568,0.7,1.0,1.0,384.0,501.0,1.0,1,385.0,1
53,53,-0.4240389352609469,-0.4,1.0,0.0,491.0,919.0,0.0,0,230.0,1
54,54,-0.4393269501741964,-0.4,0.0,1.0,252.0,914.0,1.0,0,154.0,1
55,55,-0.5935055792155761,-0.6,0.0,1.0,342.0,980.0,1.0,0,248.0,1
56,56,-0.25303773834393883,-0.3,0.0,1.0,304.0,755.0,1.0,0,561.0,1
57,57,0.8409337557965307,0.8,1.0,1.0,279.0,683.0,1.0,1,178.0,1
58,58,-0.7299751666209655,-0.7,0.0,1.0,493.0,908.0,1.0,0,319.0,1
59,59,0.8229330059695273,0.8,1.0,1.0,317.0,659.0,1.0,1,264.0,1
60,60,0.6164728031528063,0.6,1.0,1.0,317.0,732.0,1.0,1,331.0,1
61,61,0.4107273480979391,0.4,1.0,1.0,286.0,626.0,1.0,1,418.0,1
62,62,0.8869870211791896,0.9,0.0,0.0,435.0,942.0,0.0,1,53.0,1
63,63,-0.19572185004488707,-0.2,1.0,0.0,274.0,651.0,0.0,0,285.0,1
64,64,-0.16457051931809552,-0.2,0.0,1.0,324.0,561.0,1.0,0,765.0,1
65,65,0.6501104572547142,0.7,0.0,0.0,279.0,928.0,0.0,1,313.0,1
66,66,0.2777443971971779,0.3,0.0,0.0,377.0,560.0,0.0,1,413.0,1
67,67,-0.42152005784178564,-0.4,0.0,1.0,418.0,910.0,1.0,0,402.0,1
68,68,0.26259553531325397,0.3,1.0,1.0,323.0,978.0,1.0,1,449.0,1
69,69,0.4624915213403874,0.5,1.0,1.0,286.0,954.0,1.0,1,290.0,1
70,70,0.1942352073064496,0.2,0.0,0.0,407.0,973.0,0.0,1,140.0,1
71,71,-0.14013254470121372,-0.1,1.0,0.0,414.0,535.0,1.0,1,491.0,0
72,72,0.18463745064533732,0.2,0.0,0.0,441.0,671.0,0.0,1,618.0,1
73,73,0.2983924568525723,0.3,0.0,0.0,494.0,589.0,0.0,1,737.0,1
74,74,0.03602368848592008,0.0,0.0,0.0,459.0,763.0,0.0,1,278.0,1
75,75,-0.844945099075979,-0.8,0.0,1.0,286.0,749.0,1.0,0,225.0,1
76,76,-0.338305452619477,-0.3,0.0,1.0,372.0,959.0,1.0,0,239.0,1
