,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,0.04177672704616342,0.0,1.0,1.0,274.0,799.0,0.0,0,247.0,0
1,1,0.2614415891545049,0.3,0.0,0.0,285.0,706.0,0.0,1,899.0,1
2,2,-0.3011194456850401,-0.3,0.0,1.0,488.0,603.0,1.0,0,329.0,1
3,3,-0.2699358627089783,-0.3,0.0,1.0,319.0,782.0,1.0,0,209.0,1
4,4,-0.6707510437753667,-0.7,1.0,0.0,254.0,803.0,0.0,0,573.0,1
5,5,-0.7600703989396951,-0.8,1.0,0.0,368.0,562.0,0.0,0,440.0,1
6,6,0.6755144732909547,0.7,1.0,1.0,444.0,841.0,1.0,1,395.0,1
7,7,-0.7988111800241434,-0.8,1.0,0.0,384.0,677.0,0.0,0,409.0,1
8,8,-0.7982171112340678,-0.8,1.0,0.0,441.0,934.0,0.0,0,225.0,1
9,9,0.20090255491043052,0.2,0.0,0.0,494.0,577.0,1.0,0,479.0,0
10,10,-0.5785343707109772,-0.6,1.0,0.0,489.0,712.0,1.0,1,649.0,0
11,11,-0.5595759245802762,-0.6,1.0,0.0,385.0,881.0,0.0,0,394.0,1
12,12,-0.5580038465651656,-0.6,1.0,0.0,498.0,833.0,0.0,0,2229.0,1
13,13,-0.08090178023188055,-0.1,1.0,0.0,350.0,686.0,1.0,1,624.0,0
14,14,0.8957574711648232,0.9,1.0,1.0,335.0,507.0,1.0,1,478.0,1
15,15,-0.2952879882029307,-0.3,1.0,0.0,297.0,741.0,0.0,0,322.0,1
16,16,-0.5836403728925227,-0.6,0.0,1.0,372.0,986.0,0.0,1,-178.0,0
17,17,0.5857329001344059,0.6,0.0,0.0,431.0,752.0,1.0,0,437.0,0
18,18,-0.4133605240608611,-0.4,0.0,1.0,340.0,805.0,1.0,0,115.0,1
19,19,-0.19198210408691962,-0.2,1.0,0.0,402.0,792.0,1.0,1,286.0,0
20,20,0.8219227531013859,0.8,0.0,0.0,317.0,521.0,0.0,1,802.0,1
21,21,-0.5180281687402333,-0.5,1.0,0.0,256.0,663.0,0.0,0,741.0,1
22,22,-0.5025842490858439,-0.5,0.0,1.0,290.0,988.0,1.0,0,392.0,1
23,23,-0.04332732656471894,-0.0,1.0,0.0,316.0,841.0,1.0,1,1043.0,0
24,24,0.07248786522306183,0.1,0.0,0.0,279.0,568.0,1.0,0,653.0,0
25,25,-0.1568007951799365,-0.2,0.0,1.0,257.0,517.0,1.0,0,496.0,1
26,26,-0.3871843110925295,-0.4,0.0,1.0,343.0,890.0,0.0,1,197.0,0
27,27,0.24149615903067467,0.2,1.0,1.0,463.0,643.0,1.0,1,724.0,1
28,28,-0.5460609963158869,-0.5,1.0,0.0,419.0,604.0,0.0,0,557.0,1
29,29,0.09464222687283441,0.1,1.0,1.0,470.0,509.0,1.0,1,2031.0,1
30,30,-0.11286913560317835,-0.1,0.0,1.0,320.0,546.0,1.0,0,814.0,1
31,31,-0.33691415144674686,-0.3,1.0,0.0,320.0,719.0,0.0,0,951.0,1
32,32,-0.618630779705935,-0.6,1.0,0.0,341.0,653.0,0.0,0,306.0,1
33,33,0.05018750303952746,0.1,1.0,1.0,360.0,756.0,1.0,1,684.0,1
34,34,-0.5121177424231612,-0.5,1.0,0.0,362.0,798.0,0.0,0,360.0,1
35,35,0.1966205755277607,0.2,0.0,0.0,347.0,720.0,0.0,1,443.0,1
36,36,-0.36621435464595187,-0.4,0.0,1.0,410.0,593.0,1.0,0,557.0,1
