,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,0.20992788253927774,0.2,0.0,0.0,482.0,627.0,1.0,0,2141.0,0
1,1,-0.6686267701184143,-0.7,1.0,0.0,293.0,574.0,0.0,0,863.0,1
2,2,-0.8026199418043025,-0.8,1.0,0.0,301.0,578.0,0.0,0,771.0,1
3,3,0.8866901408354934,0.9,0.0,0.0,485.0,900.0,1.0,0,15.0,0
4,4,0.21083377487653088,0.2,0.0,0.0,361.0,773.0,0.0,1,946.0,1
5,5,-0.27770455087381807,-0.3,0.0,1.0,257.0,643.0,1.0,0,170.0,1
6,6,0.2922989507879489,0.3,1.0,1.0,356.0,763.0,0.0,0,451.0,0
7,7,-0.4529697654677826,-0.5,1.0,0.0,401.0,854.0,0.0,0,375.0,1
8,8,-0.43730416075140616,-0.4,0.0,1.0,443.0,848.0,1.0,0,289.0,1
9,9,0.7051955337669354,0.7,0.0,0.0,384.0,743.0,0.0,1,583.0,1
10,10,-0.014814507891163231,-0.0,0.0,1.0,425.0,889.0,1.0,0,516.0,1
11,11,-0.6803710963191495,-0.7,0.0,1.0,422.0,699.0,1.0,0,799.0,1
12,12,-0.2655169727161827,-0.3,0.0,1.0,416.0,897.0,1.0,0,227.0,1
13,13,-0.3914165522991909,-0.4,0.0,1.0,284.0,664.0,1.0,0,222.0,1
14,14,-0.1838126506203921,-0.2,0.0,1.0,314.0,906.0,1.0,0,190.0,1
15,15,-0.5438628530023224,-0.5,0.0,1.0,399.0,734.0,1.0,0,67.0,1
16,16,-0.39497788137753065,-0.4,0.0,1.0,258.0,855.0,1.0,0,-13.0,1
17,17,-0.6010525839446188,-0.6,1.0,0.0,374.0,822.0,0.0,0,344.0,1
18,18,-0.8603380495272333,-0.9,1.0,0.0,290.0,990.0,0.0,0,200.0,1
19,19,0.6450516956067044,0.6,1.0,1.0,455.0,807.0,1.0,1,438.0,1
20,20,0.3741856220423051,0.4,0.0,0.0,260.0,545.0,0.0,1,815.0,1
21,21,-0.26294016830534417,-0.3,0.0,1.0,396.0,639.0,1.0,0,625.0,1
22,22,0.6571761882304467,0.7,0.0,0.0,420.0,664.0,0.0,1,436.0,1
23,23,0.4649461087678991,0.5,0.0,0.0,286.0,976.0,0.0,1,278.0,1
24,24,-0.09480063312776932,-0.1,0.0,1.0,463.0,742.0,1.0,0,495.0,1
25,25,0.09474482436238219,0.1,1.0,1.0,333.0,552.0,1.0,1,515.0,1
26,26,0.7497461301629239,0.7,1.0,1.0,387.0,526.0,1.0,1,447.0,1
27,27,-0.8847498852625237,-0.9,0.0,1.0,370.0,966.0,1.0,0,24.0,1
28,28,0.620600706147865,0.6,1.0,1.0,415.0,525.0,1.0,1,550.0,1
29,29,-0.16229024316347296,-0.2,1.0,0.0,332.0,976.0,1.0,1,292.0,0
30,30,-0.27643049067362857,-0.3,1.0,0.0,260.0,965.0,0.0,0,555.0,1
31,31,-0.4293067494519922,-0.4,1.0,0.0,405.0,527.0,0.0,0,498.0,1
32,32,-0.7180627591608018,-0.7,0.0,1.0,272.0,543.0,1.0,0,445.0,1
33,33,-0.6045586949156778,-0.6,0.0,1.0,360.0,698.0,1.0,0,352.0,1
34,34,0.39393073515907295,0.4,1.0,1.0,450.0,882.0,1.0,1,108.0,1
35,35,-0.6131854454468347,-0.6,0.0,1.0,446.0,730.0,1.0,0,654.0,1
36,36,-0.6155436627970007,-0.6,1.0,0.0,417.0,603.0,0.0,0,340.0,1
