,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
0,0,0.8711286206863582,0.9,0,476.0,563.0,0.0,661.0,1
1,1,-0.011121446840580473,-0.0,1,470.0,749.0,1.0,231.0,1
2,2,0.6400855267592176,0.6,0,385.0,590.0,0.0,265.0,1
3,3,-0.7175571883776879,-0.7,1,421.0,507.0,1.0,262.0,1
4,4,0.31042508688537884,0.3,0,489.0,702.0,0.0,109.0,1
5,5,0.39546197806961847,0.4,0,491.0,894.0,1.0,1825.0,0
6,6,-0.1051300737762284,-0.1,1,413.0,936.0,1.0,1371.0,1
7,7,0.11725799819224236,0.1,0,476.0,942.0,1.0,1082.0,0
8,8,-0.023197781558186525,-0.0,1,250.0,809.0,0.0,401.0,0
9,9,0.39244775899504036,0.4,0,479.0,584.0,0.0,197.0,1
10,10,-0.8730754537760874,-0.9,1,394.0,939.0,1.0,337.0,1
11,11,0.8787976953018639,0.9,0,498.0,570.0,0.0,922.0,1
12,12,-0.1966006289185942,-0.2,1,321.0,610.0,1.0,259.0,1
13,13,-0.14490566318477538,-0.1,1,414.0,937.0,1.0,339.0,1
14,14,-0.18603031665282055,-0.2,1,459.0,533.0,1.0,2238.0,1
15,15,-0.6496226421622862,-0.6,1,355.0,803.0,1.0,402.0,1
16,16,-0.35846915700992055,-0.4,1,495.0,829.0,1.0,846.0,1
17,17,0.48530564368804163,0.5,0,372.0,964.0,1.0,184.0,0
18,18,-0.3753138679622654,-0.4,1,338.0,967.0,1.0,475.0,1
19,19,-0.9957343550808282,-1.0,1,438.0,713.0,1.0,179.0,1
20,20,0.6536341483592432,0.7,0,372.0,653.0,0.0,185.0,1
21,21,0.48158084923045585,0.5,0,375.0,643.0,0.0,652.0,1
22,22,-0.9934639846693865,-1.0,1,347.0,981.0,1.0,112.0,1
23,23,-0.4531771321024951,-0.5,1,459.0,514.0,1.0,357.0,1
24,24,-0.3167565543663342,-0.3,1,495.0,742.0,1.0,473.0,1
25,25,-0.8054108438815952,-0.8,1,341.0,753.0,1.0,576.0,1
26,26,0.6837932675146399,0.7,0,414.0,591.0,0.0,445.0,1
27,27,-0.2120915505826677,-0.2,1,478.0,911.0,1.0,231.0,1
28,28,-0.8222243609420756,-0.8,1,257.0,533.0,1.0,200.0,1
29,29,-0.27589502678742694,-0.3,1,426.0,868.0,1.0,476.0,1
30,30,0.6108874583830355,0.6,0,316.0,881.0,0.0,473.0,1
31,31,0.6306980268560778,0.6,0,365.0,715.0,0.0,260.0,1
32,32,-0.8335473966014204,-0.8,1,413.0,892.0,1.0,155.0,1
33,33,0.1200541717910959,0.1,0,389.0,526.0,1.0,285.0,0
34,34,0.04925395542421929,0.0,0,366.0,871.0,1.0,133.0,0
35,35,-0.45898139355360357,-0.5,1,472.0,529.0,1.0,709.0,1
36,36,-0.772501258733844,-0.8,1,482.0,879.0,1.0,749.0,1
37,37,-0.6328205411854881,-0.6,1,491.0,629.0,1.0,270.0,1
38,38,-0.39224710099052107,-0.4,1,293.0,875.0,1.0,1792.0,1
39,39,-0.014052999397907051,-0.0,1,468.0,845.0,1.0,317.0,1
40,40,0.4611196221325955,0.5,0,292.0,656.0,0.0,302.0,1
41,41,-0.5624806403557021,-0.6,1,265.0,572.0,1.0,973.0,1
42,42,-0.7854288915781409,-0.8,1,379.0,545.0,1.0,166.0,1
43,43,-0.36705023729243225,-0.4,1,268.0,945.0,1.0,207.0,1
44,44,-0.29018777353721226,-0.3,1,270.0,787.0,1.0,423.0,1
45,45,0.2773764498469815,0.3,0,295.0,841.0,1.0,384.0,0
46,46,-0.7616163947067467,-0.8,1,391.0,877.0,1.0,162.0,1
47,47,0.25550857205894495,0.3,0,388.0,882.0,1.0,1200.0,0
48,48,-0.1282430967852921,-0.1,1,344.0,596.0,1.0,1480.0,1
49,49,0.9824216277848492,1.0,0,325.0,916.0,0.0,439.0,1
50,50,0.14854267746065175,0.1,0,335.0,982.0,0.0,843.0,1
51,51,-0.12359442107309615,-0.1,1,484.0,677.0,1.0,229.0,1
52,52,0.8091348075388476,0.8,0,268.0,994.0,0.0,418.0,1
53,53,-0.06899235714167284,-0.1,1,310.0,883.0,1.0,937.0,1
54,54,0.7443263975464922,0.7,0,471.0,628.0,0.0,1481.0,1
55,55,0.18606152946108256,0.2,0,267.0,885.0,0.0,158.0,1
56,56,-0.10456259598850703,-0.1,1,438.0,635.0,1.0,1487.0,1
