,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,delay
0,0,-0.8939309036922012,-0.9,1,346.0,840.0,1.0,224.0,1,284.0896355538302
1,1,0.9507207087220095,1.0,0,399.0,879.0,0.0,342.0,1,7.39189369169857
2,2,-0.2576660556680519,-0.3,1,290.0,604.0,1.0,916.0,1,188.6499083502078
3,3,-0.568116990459268,-0.6,1,256.0,505.0,1.0,159.0,1,235.2175485688902
4,4,-0.29173694229356495,-0.3,1,484.0,595.0,1.0,911.0,1,193.76054134403475
5,5,0.40832588502674083,0.4,0,265.0,565.0,0.0,340.0,1,88.75111724598888
6,6,-0.5568704904079196,-0.6,1,365.0,685.0,1.0,210.0,1,233.53057356118794
7,7,-0.4376294857952825,-0.4,1,347.0,570.0,1.0,263.0,1,215.64442286929238
8,8,0.8340978566974606,0.8,0,422.0,552.0,0.0,1756.0,1,24.885321495380907
9,9,0.7425820823530533,0.7,0,379.0,972.0,0.0,1489.0,1,38.612687647042
10,10,0.9075818292297311,0.9,0,420.0,823.0,0.0,207.0,1,13.862725615540338
11,11,0.5979220139907224,0.6,0,420.0,734.0,0.0,906.0,1,60.31169790139164
12,12,0.8261062259131631,0.8,0,340.0,847.0,0.0,133.0,1,26.08406611302554
13,13,-0.8129060262097472,-0.8,1,464.0,604.0,1.0,232.0,1,271.93590393146206
14,14,-0.9258200613209027,-0.9,1,348.0,942.0,1.0,70.0,1,288.8730091981354
15,15,0.06371359774448182,0.1,0,316.0,858.0,1.0,566.0,0,140.44296033832774
16,16,-0.7902455597672822,-0.8,1,334.0,511.0,1.0,295.0,1,268.53683396509234
17,17,0.5042124758828825,0.5,0,291.0,705.0,0.0,554.0,1,74.36812861756762
18,18,0.42249109489968384,0.4,0,456.0,882.0,0.0,1312.0,1,86.62633576504743
19,19,-0.44929820382787833,-0.4,1,426.0,763.0,1.0,101.0,1,217.39473057418175
20,20,0.722370677690348,0.7,0,388.0,601.0,1.0,421.0,0,41.6443983464478
21,21,-0.4876699958332509,-0.5,1,366.0,786.0,1.0,228.0,1,223.15049937498765
22,22,-0.008171977555635701,-0.0,1,283.0,814.0,1.0,1513.0,1,151.22579663334537
23,23,0.8649365029050495,0.9,0,336.0,801.0,0.0,693.0,1,20.25952456424257
24,24,0.6667719798791163,0.7,0,432.0,899.0,0.0,1139.0,1,49.984203018132554
25,25,-0.8013861785982892,-0.8,1,435.0,968.0,1.0,337.0,1,270.2079267897434
26,26,0.3987322408343985,0.4,0,476.0,528.0,0.0,306.0,1,90.19016387484022
27,27,-0.2803338515630791,-0.3,1,485.0,643.0,1.0,172.0,1,192.05007773446187
28,28,-0.15082462279990705,-0.2,1,382.0,673.0,0.0,355.0,0,172.62369341998607
29,29,0.7284601205660342,0.7,0,307.0,864.0,0.0,299.0,1,40.73098191509488
30,30,0.24562330464987236,0.2,0,258.0,843.0,0.0,679.0,1,113.15650430251914
31,31,-0.1693521125193933,-0.2,1,434.0,612.0,1.0,994.0,1,175.402816877909
32,32,0.9442155255689995,0.9,0,407.0,792.0,0.0,541.0,1,8.367671164650082
33,33,-0.17333105420197925,-0.2,1,368.0,573.0,1.0,849.0,1,175.9996581302969
34,34,0.25985443735669,0.3,0,432.0,887.0,1.0,231.0,0,111.0218343964965
35,35,-0.281919130444916,-0.3,1,482.0,818.0,1.0,170.0,1,192.2878695667374
36,36,0.3614501826133236,0.4,0,377.0,505.0,0.0,238.0,1,95.78247260800146
37,37,-0.2890560489502114,-0.3,1,422.0,810.0,1.0,158.0,1,193.3584073425317
38,38,-0.1407476919813584,-0.1,1,393.0,850.0,1.0,227.0,1,171.11215379720375
39,39,0.0613878148769178,0.1,0,296.0,841.0,0.0,1213.0,1,140.79182776846233
