,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
0,0,0.8937450722239058,0.9,0,403.0,631.0,0.0,346.0,1,0.6826459276927692,0.002888153973665004
1,1,-0.8931563598987897,-0.9,1,255.0,659.0,1.0,196.0,1,0.7417093939801979,0.004690582477518437
2,2,-0.060214656466413885,-0.1,1,401.0,840.0,1.0,269.0,1,0.957031916744672,0.0001674769214263494
3,3,0.744367215449889,0.7,0,323.0,524.0,0.0,223.0,1,0.3229054615924113,0.0005331327818964382
4,4,-0.3260342513795289,-0.3,1,374.0,676.0,1.0,270.0,1,0.6264488305427023,0.0029971515704869324
5,5,0.18039987788854916,0.2,0,460.0,648.0,0.0,512.0,1,0.35114674940777624,0.002876792316107259
6,6,0.2259199827080305,0.2,0,437.0,874.0,0.0,309.0,1,0.4347200581847587,0.004679144911411901
7,7,-0.4787334271323185,-0.5,1,361.0,853.0,1.0,446.0,1,0.18041471133423193,0.0017646685411128132
8,8,-0.5952193587075252,-0.6,1,459.0,877.0,1.0,374.0,1,0.5357903082285228,0.00027033541775760896
9,9,-0.011998815302655341,-0.0,1,359.0,891.0,0.0,1210.0,0,0.38785043262806684,0.00033597886355707596
10,10,0.5529907530427736,0.6,0,279.0,538.0,0.0,293.0,1,0.5469365916408188,0.0030198038430097867
11,11,-0.4951945950286065,-0.5,1,436.0,638.0,1.0,326.0,1,0.7627502919444358,0.001127221821873058
12,12,0.21814511630684819,0.2,0,377.0,794.0,0.0,3829.0,1,0.8984424493957657,0.004688529341782883
13,13,-0.8472169262502938,-0.8,1,366.0,757.0,1.0,147.0,1,0.9456044798635194,0.0002111532042910147
14,14,-0.9439851373359776,-0.9,1,362.0,777.0,1.0,381.0,1,0.3655930925118046,0.0033626055783568215
15,15,-0.4028654681814672,-0.4,1,343.0,925.0,1.0,332.0,1,0.9919460576610006,0.00022746469668421588
16,16,0.2923646019171968,0.3,0,355.0,743.0,0.0,542.0,1,0.8595521656697968,0.0016552900215745443
17,17,-0.6578241193123391,-0.7,1,498.0,851.0,1.0,321.0,1,0.2262176142957052,0.001952182607970982
18,18,-0.3165090449451857,-0.3,1,297.0,657.0,1.0,296.0,1,0.018153038596782523,0.003966924750088799
19,19,-0.13435332397069155,-0.1,1,351.0,557.0,1.0,272.0,1,0.2455594551557303,0.0022032821995388993
20,20,-0.08166477664988836,-0.1,1,267.0,551.0,1.0,402.0,1,0.7976789535807594,0.0013841858184515826
21,21,0.78469487866184,0.8,0,302.0,716.0,0.0,322.0,1,0.9563599822856977,0.004319960542582099
22,22,-0.36662583651810055,-0.4,1,377.0,772.0,1.0,651.0,1,0.12384479828537565,0.0003191868332258324
23,23,0.7318398891668878,0.7,0,258.0,602.0,0.0,250.0,1,0.17097661989391633,0.0021028642632778026
24,24,-0.6566815144900828,-0.7,1,272.0,851.0,1.0,257.0,1,0.2822478083417188,0.004673325707291824
25,25,-0.3014086018315296,-0.3,1,487.0,717.0,1.0,276.0,1,0.7824466676662893,0.0016688712941425755
26,26,0.4280501138538504,0.4,0,318.0,750.0,0.0,292.0,1,0.8122030421159318,0.001454091732737498
27,27,-0.4633236818253301,-0.5,1,289.0,510.0,1.0,231.0,1,0.9947064564840004,0.0045766988282920345
28,28,-0.9365047755531111,-0.9,1,367.0,848.0,1.0,235.0,1,0.27142357984908894,0.003924013174028075
29,29,0.7330742706658768,0.7,0,322.0,566.0,0.0,242.0,1,0.6101922111750883,0.0018428670251775092
30,30,0.3658438279803755,0.4,0,252.0,800.0,0.0,468.0,1,0.35537920559990244,0.002330297125932539
