,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
0,0,0.4089627188385099,0.4,0,451.0,526.0,0.0,223.0,1,0.6006348975004542,0.0
1,1,0.6160902112325604,0.6,0,435.0,718.0,0.0,277.0,1,0.8233774581919704,0.0
2,2,0.053717054979924184,0.1,0,341.0,623.0,0.0,1596.0,1,0.15802229780793445,0.0
3,3,-0.8066831228090743,-0.8,1,277.0,501.0,1.0,272.0,1,0.22991106998529892,0.0
4,4,0.4670243203871547,0.5,0,471.0,745.0,0.0,494.0,1,0.1549826783508605,0.0
5,5,0.7827209454596697,0.8,0,420.0,586.0,0.0,234.0,1,0.7262351336791368,0.0
6,6,0.5262002758058482,0.5,0,360.0,922.0,0.0,318.0,1,0.5652406560844065,0.0
7,7,-0.3658372045484162,-0.4,1,302.0,562.0,1.0,356.0,1,0.9750328737460041,0.0
8,8,-0.0670810121203842,-0.1,1,444.0,704.0,0.0,122.0,0,0.48408297969402414,0.0
9,9,-0.025868027069988697,-0.0,1,327.0,834.0,1.0,419.0,1,0.7093064662670027,0.0
10,10,0.012730661807280441,0.0,0,302.0,913.0,0.0,315.0,1,0.6330291772600976,0.0
11,11,0.9853691775752331,1.0,0,460.0,546.0,0.0,194.0,1,0.5390382439857374,0.0
12,12,-0.9542653806470507,-1.0,1,344.0,810.0,1.0,196.0,1,0.7592522057325769,0.0
13,13,-0.28156648901535064,-0.3,1,342.0,600.0,1.0,238.0,1,0.663857025597312,0.0
14,14,0.06280800124702068,0.1,0,458.0,760.0,1.0,292.0,0,0.46915496757215036,0.0
15,15,-0.8632120874127984,-0.9,1,363.0,806.0,1.0,241.0,1,0.34455126723024376,0.0
16,16,-0.7147911666986217,-0.7,1,380.0,643.0,1.0,167.0,1,0.9131058052061055,0.0
17,17,-0.14568680709388393,-0.1,1,397.0,701.0,1.0,152.0,1,0.9555980968093485,0.0
18,18,-0.11906008440188498,-0.1,1,496.0,636.0,1.0,248.0,1,0.2700849015025375,0.0
19,19,-0.987883617136172,-1.0,1,454.0,514.0,1.0,182.0,1,0.4434894850677651,0.0
20,20,-0.20333774186548026,-0.2,1,472.0,565.0,1.0,383.0,1,0.2780737150776297,0.0
21,21,0.5584764731472169,0.6,0,351.0,595.0,0.0,314.0,1,0.4445876838512087,0.0
22,22,0.18405517125697024,0.2,0,403.0,766.0,0.0,1211.0,1,0.1626722435143751,0.0
23,23,-0.5387583698445635,-0.5,1,486.0,800.0,1.0,54.0,1,0.8953668330899639,0.0
24,24,-0.09513268517043416,-0.1,1,309.0,714.0,0.0,357.0,0,0.3435064336952527,0.0
25,25,0.47028812991863167,0.5,0,428.0,525.0,0.0,267.0,1,0.4909862849469723,0.0
26,26,-0.07062257341909972,-0.1,1,281.0,836.0,1.0,273.0,1,0.606992258704333,0.0
27,27,-0.5780294561576673,-0.6,1,482.0,621.0,1.0,357.0,1,0.2886264884703933,0.0
28,28,-0.5292694571514542,-0.5,1,313.0,940.0,1.0,207.0,1,0.48537928915398587,0.0
29,29,-0.7601118537983655,-0.8,1,393.0,548.0,1.0,219.0,1,0.6205351982558047,0.0
30,30,0.1830811593159427,0.2,0,310.0,715.0,0.0,245.0,1,0.9181269350540362,0.0
31,31,-0.11199370567614708,-0.1,1,446.0,663.0,1.0,331.0,1,0.549237878729857,0.0
32,32,0.3801019861926742,0.4,0,320.0,611.0,0.0,389.0,1,0.9465533316218686,0.0
33,33,-0.0018535072442924516,-0.0,1,251.0,932.0,0.0,1017.0,0,0.23464336771011224,0.0
34,34,-0.01378159320618777,-0.0,1,440.0,694.0,1.0,386.0,1,0.6828201934898568,0.0
35,35,0.13142060472275707,0.1,0,440.0,952.0,0.0,468.0,1,0.6401744256525915,0.0
36,36,0.7655816485961808,0.8,0,406.0,717.0,0.0,247.0,1,0.47009743076971733,0.0
37,37,0.4396141237144966,0.4,0,474.0,886.0,0.0,260.0,1,0.40979095829834933,0.0
38,38,-0.29912583359009925,-0.3,1,472.0,827.0,1.0,61.0,1,0.9656301456794051,0.0
39,39,-0.16910608718079478,-0.2,1,365.0,533.0,1.0,792.0,1,0.34629237649390043,0.0
40,40,-0.373018160637286,-0.4,1,496.0,540.0,1.0,894.0,1,0.1098570452763633,0.0
41,41,-0.6989686577354364,-0.7,1,441.0,703.0,1.0,196.0,1,0.9320565994115898,0.0
42,42,0.35594002063313557,0.4,0,433.0,845.0,0.0,302.0,1,0.29374447163567063,0.0
43,43,-0.6323749635656166,-0.6,1,398.0,524.0,1.0,428.0,1,0.5449934222250568,0.0
44,44,-0.8373657690702929,-0.8,1,373.0,670.0,1.0,167.0,1,0.9401385199905048,0.0
45,45,0.6340780229413174,0.6,0,437.0,881.0,0.0,222.0,1,0.6298220633295611,0.0
46,46,0.2598241232441294,0.3,0,330.0,966.0,0.0,284.0,1,0.5205630423623758,0.0
47,47,-0.008965294000427448,-0.0,1,432.0,702.0,0.0,406.0,0,0.49675029268579474,0.0
48,48,0.8208878022241222,0.8,0,482.0,577.0,0.0,311.0,1,0.3632411044551176,0.0
49,49,0.20055960997503774,0.2,0,321.0,714.0,1.0,285.0,0,0.8503975255609212,0.0
50,50,0.3615960225613688,0.4,0,396.0,934.0,0.0,2720.0,1,0.10392156383119755,0.0
51,51,0.3341838763025671,0.3,0,326.0,747.0,0.0,287.0,1,0.47930788990845363,0.0
52,52,-0.8448179859810812,-0.8,1,461.0,582.0,1.0,187.0,1,0.7127314107966578,0.0
53,53,0.7867655611956328,0.8,0,314.0,756.0,0.0,190.0,1,0.4027186655367766,0.0
54,54,-0.6987416504059065,-0.7,1,325.0,610.0,1.0,255.0,1,0.33023784597131506,0.0
55,55,-0.3835346764745242,-0.4,1,439.0,758.0,1.0,273.0,1,0.43837528055749464,0.0
56,56,-0.342683110229802,-0.3,1,299.0,837.0,1.0,304.0,1,0.8450203003019697,0.0
57,57,0.27170050403887114,0.3,0,274.0,820.0,0.0,1886.0,1,0.1463004548896695,0.0
58,58,-0.5950585203944296,-0.6,1,429.0,909.0,1.0,302.0,1,0.6560339699944068,0.0
59,59,-0.6423433493426411,-0.6,1,387.0,731.0,1.0,242.0,1,0.47686685469577816,0.0
60,60,-0.6594823776566063,-0.7,1,465.0,642.0,1.0,303.0,1,0.32700291272549764,0.0
61,61,-0.41463201414512585,-0.4,1,382.0,896.0,1.0,322.0,1,0.2949210896370223,0.0
62,62,0.6996294750804919,0.7,0,428.0,734.0,0.0,258.0,1,0.2973301954706937,0.0
63,63,0.4973071639806328,0.5,0,315.0,951.0,0.0,-866.0,1,0.7880273106004773,0.0
64,64,-0.0660813674974936,-0.1,1,278.0,623.0,1.0,319.0,1,0.845245922669749,0.0
65,65,-0.9658865389114155,-1.0,1,468.0,767.0,1.0,335.0,1,0.16063690263149222,0.0
66,66,-0.13987262684074442,-0.1,1,374.0,801.0,1.0,365.0,1,0.5741856905331121,0.0
67,67,-0.10428737121072618,-0.1,1,306.0,517.0,1.0,287.0,1,0.7931034259926575,0.0
68,68,-0.5776462174325667,-0.6,1,277.0,869.0,1.0,184.0,1,0.6918826058466789,0.0
69,69,0.2192412127792991,0.2,0,291.0,608.0,0.0,281.0,1,0.8892207536302715,0.0
70,70,-0.4011711210245823,-0.4,1,271.0,806.0,1.0,253.0,1,0.2604499644245701,0.0
71,71,-0.23707104726426853,-0.2,1,416.0,764.0,1.0,330.0,1,0.5897051483666176,0.0
72,72,0.170487918438182,0.2,0,347.0,965.0,0.0,218.0,1,0.7793657568990601,0.0
73,73,-0.23429014778945145,-0.2,1,417.0,682.0,1.0,411.0,1,0.7897377255475357,0.0
74,74,-0.37901665361287384,-0.4,1,436.0,713.0,1.0,291.0,1,0.8711593501313831,0.0
