,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
0,0,0.47245129256735274,0.5,0,284.0,739.0,0.0,1007.0,1,0.012751396967649598,0.0
1,1,-0.18244778280997354,-0.2,1,377.0,583.0,0.0,210.0,0,0.7548537467223725,0.0
2,2,-0.6565134058138462,-0.7,1,260.0,769.0,1.0,291.0,1,0.38701214292485386,0.0
3,3,0.4969679530002382,0.5,0,367.0,519.0,0.0,314.0,1,0.49673239926501755,0.0
4,4,-0.21995994259403617,-0.2,1,281.0,771.0,1.0,418.0,1,0.1949192990715073,0.0
5,5,-0.5162043318757985,-0.5,1,327.0,502.0,1.0,351.0,1,0.10989300782692957,0.0
6,6,-0.8090731789458059,-0.8,1,300.0,594.0,1.0,326.0,1,0.4374968265204524,0.0
7,7,-0.1255508034404984,-0.1,1,416.0,567.0,1.0,387.0,1,0.0055435394886816924,0.0
8,8,0.11834654696910119,0.1,0,402.0,853.0,0.0,255.0,1,0.6608012012908631,0.0
9,9,0.6662293416387917,0.7,0,390.0,772.0,0.0,298.0,1,0.45457993109332906,0.0
10,10,0.6441574051881331,0.6,0,429.0,847.0,0.0,144.0,1,0.6382341748295514,0.0
11,11,-0.5397169421435684,-0.5,1,335.0,800.0,1.0,215.0,1,0.900730143848975,0.0
12,12,0.923343617476186,0.9,0,434.0,923.0,0.0,153.0,1,0.8644471721689286,0.0
13,13,0.7959335363702549,0.8,0,488.0,741.0,0.0,331.0,1,0.006366841035098214,0.0
14,14,0.34209394504487634,0.3,0,336.0,775.0,0.0,799.0,1,0.061053130810411305,0.0
15,15,-0.6221267135873725,-0.6,1,435.0,716.0,1.0,539.0,1,0.04463062416764363,0.0
16,16,0.3823964798347075,0.4,0,488.0,719.0,0.0,513.0,1,0.6692177551928388,0.0
17,17,-0.4100459256901696,-0.4,1,467.0,736.0,1.0,397.0,1,0.271791510216266,0.0
18,18,0.841279302683325,0.8,0,292.0,926.0,0.0,192.0,1,0.873474116430395,0.0
19,19,-0.9658428976593612,-1.0,1,323.0,580.0,1.0,177.0,1,0.9071723792454608,0.0
20,20,-0.9351553442997864,-0.9,1,314.0,946.0,1.0,150.0,1,0.9461539697152361,0.0
21,21,0.8071924806763822,0.8,0,479.0,932.0,0.0,309.0,1,0.5619718852793496,0.0
22,22,0.7995613285542127,0.8,0,287.0,548.0,0.0,215.0,1,0.8015538956822693,0.0
23,23,0.575632974873028,0.6,0,439.0,818.0,0.0,743.0,1,0.08271196074191078,0.0
24,24,0.6444591619023023,0.6,0,448.0,570.0,0.0,172.0,1,0.36928397036810634,0.0
25,25,-0.054702166787294226,-0.1,1,486.0,550.0,0.0,894.0,0,0.09540163206101548,0.0
26,26,0.6394285460912958,0.6,0,416.0,727.0,0.0,317.0,1,0.7022561717909968,0.0
27,27,-0.3277550263665885,-0.3,1,469.0,767.0,1.0,394.0,1,0.21939310871518058,0.0
28,28,0.22975728649060945,0.2,0,451.0,758.0,0.0,271.0,1,0.8175996841893627,0.0
