,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,init_y_left,init_y_right
0,0,-0.6956743351016321,-0.7,1,345.0,711.0,1.0,124.0,1,0.49537494737967874,0.49537494737967874
1,1,0.9854806932574935,1.0,0,283.0,568.0,0.0,239.0,1,0.17931250353483796,0.17931250353483796
2,2,0.6668435583921677,0.7,0,296.0,694.0,0.0,280.0,1,0.2964758052012082,0.2964758052012082
3,3,0.15898040371651745,0.2,0,383.0,756.0,0.0,621.0,1,0.2123227272365079,0.2123227272365079
4,4,-0.8713211881583602,-0.9,1,279.0,689.0,1.0,162.0,1,0.16587131434644603,0.16587131434644603
5,5,-0.26660036902076056,-0.3,1,399.0,872.0,0.0,159.0,0,0.33661882125200454,0.33661882125200454
6,6,-0.3891219490922231,-0.4,1,412.0,621.0,1.0,197.0,1,0.19141376754132888,0.19141376754132888
7,7,-0.09189856887946823,-0.1,1,300.0,652.0,0.0,808.0,0,0.30183749353461525,0.30183749353461525
8,8,-0.634044652505928,-0.6,1,489.0,548.0,1.0,133.0,1,0.41274402104095875,0.41274402104095875
9,9,0.9692155506701341,1.0,0,315.0,857.0,0.0,198.0,1,0.03563126575686665,0.03563126575686665
10,10,-0.3804576808938156,-0.4,1,410.0,588.0,1.0,402.0,1,0.3703162132797389,0.3703162132797389
11,11,0.5481576484527502,0.5,0,252.0,642.0,0.0,156.0,1,0.46157803874887493,0.46157803874887493
12,12,0.7043309090498238,0.7,0,470.0,823.0,0.0,477.0,1,0.4662037330435346,0.4662037330435346
13,13,0.7009145181859375,0.7,0,360.0,845.0,0.0,635.0,1,0.42193718396118135,0.42193718396118135
14,14,0.4975153613205192,0.5,0,337.0,674.0,0.0,279.0,1,0.38210177564757536,0.38210177564757536
15,15,0.31075436229364906,0.3,0,419.0,919.0,0.0,232.0,1,0.08574086128441832,0.08574086128441832
16,16,-0.08764868209867505,-0.1,1,281.0,839.0,0.0,190.0,0,0.1382219026800393,0.1382219026800393
17,17,0.23143091901718926,0.2,0,273.0,960.0,1.0,497.0,0,0.48320709618652297,0.48320709618652297
18,18,-0.18017372805898946,-0.2,1,382.0,536.0,0.0,472.0,0,0.3556828248177048,0.3556828248177048
19,19,0.1189269369857131,0.1,0,300.0,670.0,0.0,780.0,1,0.07219511060637501,0.07219511060637501
20,20,-0.3475355298810683,-0.3,1,364.0,653.0,1.0,63.0,1,0.28822294128571835,0.28822294128571835
21,21,0.8676721683974618,0.9,0,494.0,790.0,0.0,116.0,1,0.4488898501293536,0.4488898501293536
22,22,-0.035550478246414,-0.0,1,493.0,902.0,1.0,445.0,1,0.23811612940014953,0.23811612940014953
23,23,0.9526436947707349,1.0,0,477.0,879.0,0.0,264.0,1,0.027736856170267,0.027736856170267
24,24,-0.19519092606975752,-0.2,1,273.0,874.0,0.0,293.0,0,0.1586262538950442,0.1586262538950442
25,25,0.7322383394716467,0.7,0,388.0,930.0,0.0,142.0,1,0.3528573477970211,0.3528573477970211
26,26,-0.23950462931909366,-0.2,1,433.0,913.0,1.0,924.0,1,0.02133882839242507,0.02133882839242507
27,27,0.2694001437514577,0.3,0,275.0,956.0,0.0,179.0,1,0.18610783186228336,0.18610783186228336
28,28,0.15539832123427044,0.2,0,277.0,730.0,0.0,323.0,1,0.35297603752940887,0.35297603752940887
29,29,-0.884018946309117,-0.9,1,299.0,695.0,1.0,696.0,1,0.2785104967178662,0.2785104967178662
30,30,-0.6652955520075838,-0.7,1,385.0,683.0,1.0,352.0,1,0.13122226224973121,0.13122226224973121
31,31,-0.7523129697440738,-0.8,1,445.0,726.0,0.0,529.0,0,0.3736439058113682,0.3736439058113682
32,32,-0.20857429429687602,-0.2,1,485.0,809.0,0.0,496.0,0,0.26984297235216365,0.26984297235216365
33,33,0.19210108955923544,0.2,0,407.0,581.0,0.0,242.0,1,0.31795245753990675,0.31795245753990675
34,34,0.15417619160545493,0.2,0,318.0,532.0,0.0,150.0,1,0.27184842782473545,0.27184842782473545
35,35,-0.24335016426982925,-0.2,1,271.0,682.0,1.0,327.0,1,0.029684679916666068,0.029684679916666068
36,36,-0.17045807102178712,-0.2,1,377.0,831.0,1.0,332.0,1,0.35858630591253055,0.35858630591253055
37,37,0.23590529787687697,0.2,0,486.0,846.0,0.0,828.0,1,0.34374257263352853,0.34374257263352853
38,38,-0.15474506931091225,-0.2,1,488.0,925.0,1.0,387.0,1,0.29546696606853523,0.29546696606853523
39,39,-0.9022155651904038,-0.9,1,319.0,867.0,1.0,184.0,1,0.2783312987983458,0.2783312987983458
40,40,-0.8956770731619041,-0.9,1,454.0,853.0,1.0,613.0,1,0.347255364961652,0.347255364961652
41,41,0.08791046445430184,0.1,0,370.0,992.0,1.0,1068.0,0,0.1198540315783127,0.1198540315783127
42,42,0.3381402031975427,0.3,0,295.0,983.0,1.0,252.0,0,0.2927046350851885,0.2927046350851885
43,43,0.3311983430316101,0.3,0,391.0,848.0,0.0,861.0,1,0.20804777784926054,0.20804777784926054
44,44,-0.22576890331882726,-0.2,1,481.0,934.0,1.0,125.0,1,0.43530352750447976,0.43530352750447976
45,45,0.38033419795193946,0.4,0,290.0,601.0,1.0,299.0,0,0.07831158846180913,0.07831158846180913
46,46,-0.5704975902121847,-0.6,1,433.0,500.0,1.0,77.0,1,0.12882419436562137,0.12882419436562137
47,47,0.6722876762190917,0.7,0,260.0,698.0,0.0,462.0,1,0.07070529868954745,0.07070529868954745
48,48,-0.47154297612483753,-0.5,1,297.0,998.0,1.0,155.0,1,0.3257156699949974,0.3257156699949974
49,49,-0.7250394467711097,-0.7,1,409.0,671.0,1.0,120.0,1,0.3251721595612565,0.3251721595612565
50,50,0.7224006125805691,0.7,0,277.0,952.0,0.0,381.0,1,0.028692110661385384,0.028692110661385384
51,51,0.914366823526445,0.9,0,471.0,814.0,0.0,275.0,1,0.18788480600200552,0.18788480600200552
52,52,-0.30627094968041235,-0.3,1,428.0,606.0,1.0,836.0,1,0.4118764256950709,0.4118764256950709
53,53,-0.9513227635716033,-1.0,1,485.0,733.0,1.0,142.0,1,0.3979834091873576,0.3979834091873576
54,54,0.9408772680683546,0.9,0,343.0,894.0,0.0,623.0,1,0.24151185043046874,0.24151185043046874
55,55,0.8668876516042281,0.9,0,469.0,583.0,0.0,528.0,1,0.39499621406463936,0.39499621406463936
56,56,-0.02785143190794437,-0.0,1,279.0,977.0,0.0,834.0,0,0.2573671074270488,0.2573671074270488
57,57,-0.3087336223056578,-0.3,1,294.0,897.0,1.0,379.0,1,0.29354228196825477,0.29354228196825477
58,58,-0.06676337789387055,-0.1,1,408.0,973.0,1.0,569.0,1,0.4352924374616765,0.4352924374616765
59,59,0.03659893897299149,0.0,0,307.0,958.0,0.0,395.0,1,0.09583563998098776,0.09583563998098776
60,60,-0.4748980404394283,-0.5,1,332.0,864.0,1.0,964.0,1,0.4155291100625242,0.4155291100625242
61,61,-0.19077663189413308,-0.2,1,426.0,848.0,1.0,386.0,1,0.07019306573625961,0.07019306573625961
62,62,0.148525974063084,0.1,0,425.0,947.0,1.0,518.0,0,0.2527485253329203,0.2527485253329203
63,63,-0.5333837248257625,-0.5,1,335.0,725.0,1.0,200.0,1,0.18016370480185145,0.18016370480185145
64,64,-0.39267176643382196,-0.4,1,430.0,536.0,1.0,84.0,1,0.3111626718210122,0.3111626718210122
65,65,-0.330113508747959,-0.3,1,481.0,808.0,1.0,141.0,1,0.17621014527514667,0.17621014527514667
66,66,0.043188043309764446,0.0,0,443.0,532.0,0.0,415.0,1,0.11043269678341161,0.11043269678341161
67,67,0.46778085994134266,0.5,0,378.0,562.0,0.0,500.0,1,0.17087525808176734,0.17087525808176734
68,68,0.7152896079898818,0.7,0,253.0,557.0,0.0,750.0,1,0.008252084994062825,0.008252084994062825
69,69,0.7724016408774392,0.8,0,349.0,996.0,0.0,145.0,1,0.06099778055846533,0.06099778055846533
70,70,0.5457919564915272,0.5,0,327.0,601.0,0.0,642.0,1,0.26384559399935875,0.26384559399935875
71,71,0.9044236885691106,0.9,0,265.0,899.0,0.0,176.0,1,0.17771380177992746,0.17771380177992746
72,72,0.7137237160781762,0.7,0,334.0,900.0,0.0,536.0,1,0.45033852707347083,0.45033852707347083
73,73,0.12289038700954036,0.1,0,340.0,513.0,1.0,327.0,0,0.4905418270948685,0.4905418270948685
74,74,-0.28938739864664176,-0.3,1,382.0,667.0,0.0,381.0,0,0.11148001505201188,0.11148001505201188
75,75,0.3760674827733048,0.4,0,384.0,864.0,0.0,492.0,1,0.3923580946901234,0.3923580946901234
76,76,0.5919817025068521,0.6,0,474.0,543.0,0.0,143.0,1,0.38040148191845036,0.38040148191845036
77,77,-0.4074058560095306,-0.4,1,413.0,517.0,1.0,240.0,1,0.012900734790509905,0.012900734790509905
78,78,-0.40065226745565896,-0.4,1,493.0,517.0,1.0,120.0,1,0.2712106831378865,0.2712106831378865
79,79,-0.7199693584729752,-0.7,1,301.0,579.0,1.0,210.0,1,0.32566366057885526,0.32566366057885526
80,80,0.4986655038612575,0.5,0,455.0,644.0,0.0,201.0,1,0.272703203405388,0.272703203405388
81,81,-0.633085562468781,-0.6,1,326.0,931.0,1.0,293.0,1,0.1011006089669021,0.1011006089669021
82,82,0.47258380446629666,0.5,0,280.0,557.0,1.0,103.0,0,0.2375095539315374,0.2375095539315374
83,83,-0.44073577611320536,-0.4,1,276.0,764.0,1.0,170.0,1,0.10815490495766666,0.10815490495766666
84,84,-0.3454063245519192,-0.3,1,420.0,678.0,0.0,212.0,0,0.17293891254886712,0.17293891254886712
