,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
0,0,0.9998730331560111,1.0,0,487.0,628.0,0.0,275.0,1
1,1,-0.48544505904306123,-0.5,1,326.0,547.0,1.0,237.0,1
2,2,-0.5755854071056685,-0.6,1,376.0,516.0,1.0,208.0,1
3,3,0.695699418836548,0.7,0,437.0,812.0,0.0,301.0,1
4,4,-0.9905233905573485,-1.0,1,342.0,534.0,1.0,324.0,1
5,5,0.994531868534607,1.0,0,355.0,886.0,0.0,339.0,1
6,6,0.9922572176479922,1.0,0,462.0,924.0,0.0,394.0,1
7,7,-0.31713729770300225,-0.3,1,260.0,921.0,1.0,379.0,1
8,8,-0.32791703571705044,-0.3,1,327.0,815.0,1.0,858.0,1
9,9,-0.27501055669208885,-0.3,1,351.0,961.0,1.0,1028.0,1
10,10,-0.18279189080761982,-0.2,1,325.0,734.0,1.0,1271.0,1
11,11,-0.8998136447278546,-0.9,1,306.0,616.0,1.0,688.0,1
12,12,-0.7884493259546701,-0.8,1,340.0,725.0,1.0,535.0,1
13,13,-0.9644346456598383,-1.0,1,377.0,677.0,1.0,226.0,1
14,14,-0.8350468263427981,-0.8,1,477.0,671.0,1.0,212.0,1
15,15,-0.5607578263186284,-0.6,1,290.0,549.0,1.0,901.0,1
16,16,-0.957110956100605,-1.0,1,368.0,719.0,1.0,113.0,1
17,17,-0.48379892723622886,-0.5,1,438.0,715.0,1.0,257.0,1
18,18,-0.2613722916200405,-0.3,1,414.0,993.0,1.0,213.0,1
19,19,0.1358614372869822,0.1,0,469.0,694.0,0.0,737.0,1
20,20,0.036496916109384436,0.0,0,425.0,737.0,0.0,1448.0,1
21,21,-0.668796021124372,-0.7,1,385.0,686.0,1.0,309.0,1
22,22,0.8470851465999814,0.8,0,295.0,520.0,0.0,355.0,1
23,23,-0.6253111688968807,-0.6,1,337.0,894.0,1.0,499.0,1
24,24,-0.011226719576648891,-0.0,1,478.0,749.0,0.0,1043.0,0
25,25,-0.11605555749498797,-0.1,1,312.0,633.0,0.0,565.0,0
26,26,0.3876434142548262,0.4,0,251.0,702.0,0.0,207.0,1
27,27,0.6501825149919267,0.7,0,306.0,712.0,0.0,292.0,1
28,28,-0.37897445590367873,-0.4,1,296.0,871.0,1.0,493.0,1
29,29,-0.49088895130316756,-0.5,1,387.0,749.0,1.0,314.0,1
30,30,-0.9833897857447891,-1.0,1,496.0,547.0,1.0,697.0,1
31,31,0.2018209300022904,0.2,0,326.0,669.0,0.0,645.0,1
32,32,0.489290469537752,0.5,0,364.0,710.0,0.0,406.0,1
33,33,-0.23204264055907986,-0.2,1,291.0,633.0,1.0,246.0,1
34,34,0.35033188232887347,0.4,0,435.0,694.0,0.0,361.0,1
35,35,-0.518931042727969,-0.5,1,443.0,893.0,1.0,214.0,1
36,36,0.3265299451569976,0.3,0,293.0,807.0,0.0,490.0,1
37,37,-0.6743973064603919,-0.7,1,421.0,738.0,1.0,241.0,1
38,38,-0.2544708145784822,-0.3,1,427.0,844.0,1.0,659.0,1
