,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
0,0,0.5927311057384177,0.8,True,471.0,581.0,0.0,478.0,0
1,1,0.7627076290579324,0.9,True,446.0,511.0,0.0,253.0,0
2,2,-0.235444563814174,0.4,True,285.0,987.0,1.0,588.0,1
3,3,-0.4667709185349951,0.3,True,256.0,779.0,1.0,285.0,1
4,4,0.11453497965385995,0.6,True,476.0,886.0,0.0,438.0,0
5,5,0.559971675859884,0.8,True,262.0,996.0,0.0,392.0,0
6,6,0.6126555935182321,0.8,True,389.0,746.0,0.0,285.0,0
7,7,0.9935465393958467,1.0,True,351.0,697.0,0.0,222.0,0
8,8,-0.18013032547269758,0.4,True,422.0,952.0,1.0,556.0,1
9,9,-0.6144101957113548,0.2,True,431.0,838.0,1.0,231.0,1
10,10,0.7843493991903396,0.9,True,365.0,575.0,0.0,280.0,0
11,11,0.7736949816858196,0.9,True,312.0,984.0,0.0,244.0,0
12,12,-0.049488842096468755,0.5,True,468.0,651.0,1.0,711.0,1
13,13,0.27697571787719455,0.6,True,374.0,978.0,0.0,668.0,0
14,14,0.9618026012555567,1.0,True,404.0,873.0,0.0,233.0,0
15,15,0.6275555410184761,0.8,True,338.0,979.0,0.0,263.0,0
16,16,-0.6241208151007229,0.2,True,277.0,648.0,1.0,235.0,1
17,17,-0.8567023755820791,0.1,True,493.0,557.0,1.0,220.0,1
18,18,0.8890465002957262,0.9,True,477.0,888.0,0.0,215.0,0
19,19,0.9943670284687067,1.0,True,365.0,713.0,0.0,252.0,0
20,20,-0.11165346113628538,0.4,True,440.0,618.0,1.0,772.0,1
21,21,0.2535033051965403,0.6,True,294.0,563.0,0.0,513.0,0
22,22,-0.8212657109012227,0.1,True,307.0,842.0,1.0,261.0,1
23,23,-0.10178622395554071,0.4,True,254.0,684.0,1.0,922.0,1
24,24,0.24035588243459483,0.6,True,487.0,710.0,0.0,553.0,0
25,25,0.96229918950219,1.0,True,390.0,848.0,0.0,262.0,0
26,26,0.858371011229544,0.9,True,270.0,683.0,0.0,247.0,0
27,27,-0.3206765230848634,0.3,True,383.0,591.0,1.0,246.0,1
28,28,-0.6198796214545736,0.2,True,452.0,593.0,1.0,215.0,1
29,29,-0.9428898482728694,0.0,True,316.0,585.0,1.0,229.0,1
30,30,0.7766342991320614,0.9,True,351.0,793.0,0.0,256.0,0
31,31,-0.8607668302923119,0.1,True,368.0,940.0,1.0,232.0,1
32,32,-0.9988440006643173,0.0,True,337.0,996.0,1.0,217.0,1
33,33,0.4096537257184447,0.7,True,275.0,927.0,0.0,368.0,0
34,34,0.5899499713616778,0.8,True,482.0,829.0,0.0,279.0,0
35,35,-0.4616142593348118,0.3,True,371.0,858.0,1.0,221.0,1
36,36,0.9826370149974106,1.0,True,415.0,790.0,0.0,375.0,0
37,37,0.30720690510510495,0.7,True,363.0,512.0,0.0,425.0,0
38,38,-0.9654743950283988,0.0,True,336.0,549.0,1.0,225.0,1
39,39,0.04880064390854022,0.5,True,349.0,902.0,0.0,3749.0,0
40,40,-0.11954312569579861,0.4,True,353.0,765.0,1.0,532.0,1
41,41,-0.059782637944199246,0.5,True,264.0,619.0,1.0,897.0,1
42,42,-0.7783949622267616,0.1,True,272.0,610.0,1.0,228.0,1
43,43,-0.7164789334176145,0.1,True,283.0,775.0,1.0,222.0,1
44,44,-0.07315654530342486,0.5,True,431.0,652.0,1.0,667.0,1
45,45,0.8922879281003548,0.9,True,299.0,780.0,0.0,261.0,0
46,46,-0.3030152411537479,0.3,True,465.0,653.0,1.0,262.0,1
47,47,-0.7240800305733368,0.1,True,260.0,941.0,1.0,229.0,1
48,48,-0.9600223871651559,0.0,True,418.0,729.0,1.0,253.0,1
49,49,0.9140903636834519,1.0,True,292.0,740.0,0.0,238.0,0
50,50,0.5127633688652184,0.8,True,470.0,821.0,0.0,319.0,0
51,51,-0.30772785733618213,0.3,True,482.0,713.0,1.0,245.0,1
52,52,0.8582441838253809,0.9,True,276.0,598.0,0.0,246.0,0
53,53,-0.6158510487784854,0.2,True,329.0,831.0,1.0,240.0,1
54,54,-0.30587514623448464,0.3,True,337.0,939.0,1.0,244.0,1
55,55,0.6222530032708122,0.8,True,443.0,718.0,0.0,409.0,0
56,56,0.9020948053162878,1.0,True,491.0,645.0,0.0,234.0,0
57,57,-0.0828506558458042,0.5,True,329.0,794.0,1.0,727.0,1
58,58,-0.7888651043743291,0.1,True,439.0,974.0,1.0,237.0,1
59,59,-0.6565098663271223,0.2,True,262.0,916.0,1.0,222.0,1
60,60,-0.827484675393847,0.1,True,391.0,942.0,1.0,237.0,1
61,61,-0.8361434539530506,0.1,True,442.0,627.0,1.0,271.0,1
62,62,0.6924624837055593,0.8,True,328.0,951.0,0.0,391.0,0
63,63,0.6292480119917516,0.8,True,307.0,565.0,0.0,288.0,0
64,64,-0.44164787787651694,0.3,True,498.0,707.0,1.0,265.0,1
65,65,0.4046736223472549,0.7,True,253.0,661.0,0.0,466.0,0
66,66,-0.3030386531000726,0.3,True,423.0,806.0,1.0,251.0,1
67,67,0.5439078383936353,0.8,True,295.0,929.0,0.0,276.0,0
68,68,-0.39156963531639,0.3,True,275.0,967.0,1.0,258.0,1
69,69,0.8379878220525245,0.9,True,391.0,716.0,0.0,423.0,0
70,70,-0.18881945113632215,0.4,True,479.0,558.0,1.0,363.0,1
71,71,0.4207671366885395,0.7,True,409.0,609.0,0.0,492.0,0
72,72,0.9453718306029717,1.0,True,317.0,605.0,0.0,238.0,0
73,73,-0.09487814459879362,0.5,True,402.0,929.0,1.0,499.0,1
74,74,-0.6394066854974763,0.2,True,407.0,553.0,1.0,250.0,1
75,75,-0.09137816878615967,0.5,True,470.0,882.0,1.0,668.0,1
76,76,-0.3648841143855239,0.3,True,310.0,653.0,1.0,237.0,1
77,77,-0.9498099443277408,0.0,True,345.0,670.0,1.0,225.0,1
78,78,0.3347078332347664,0.7,True,437.0,814.0,0.0,529.0,0
79,79,-0.8872140869809542,0.1,True,342.0,801.0,1.0,247.0,1
80,80,0.24629809020099125,0.6,True,329.0,589.0,0.0,532.0,0
81,81,0.555235017380453,0.8,True,487.0,977.0,0.0,246.0,0
82,82,0.0320913518280741,0.5,True,369.0,582.0,0.0,4049.0,0
83,83,0.14538100054320502,0.6,True,308.0,842.0,0.0,720.0,0
84,84,-0.7612852367268708,0.1,True,362.0,841.0,1.0,237.0,1
85,85,-0.21077074095795356,0.4,True,303.0,612.0,1.0,345.0,1
86,86,-0.8669569065780929,0.1,True,261.0,925.0,1.0,204.0,1
87,87,0.8495578157909169,0.9,True,262.0,900.0,0.0,248.0,0
88,88,-0.4240347329474463,0.3,True,480.0,951.0,1.0,459.0,1
89,89,-0.5342291221244204,0.2,True,356.0,902.0,1.0,332.0,1
90,90,-0.04905422143699578,0.5,True,363.0,804.0,1.0,343.0,1
91,91,0.3368714172314853,0.7,True,306.0,763.0,0.0,431.0,0
92,92,0.9669971169031237,1.0,True,482.0,600.0,0.0,228.0,0
93,93,0.9893640783516231,1.0,True,479.0,693.0,0.0,258.0,0
94,94,0.006035733465209914,0.5,True,416.0,773.0,1.0,1461.0,1
95,95,0.974242035307634,1.0,True,456.0,603.0,0.0,241.0,0
96,96,-0.9611321439776035,0.0,True,320.0,637.0,1.0,243.0,1
97,97,0.5814156605522074,0.8,True,478.0,553.0,0.0,439.0,0
