,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
0,0,0.8932241008127819,0.9,0,371.0,797.0,0.0,3832.0,1,0.022271225775181813,0.0
1,1,0.8166842388025843,0.8,0,460.0,535.0,0.0,155.0,1,1.4999861354147785,0.0
2,2,0.3696501754723449,0.4,0,303.0,846.0,0.0,1181.0,1,0.21427997383231556,0.0
3,3,-0.20101998411166622,-0.2,1,270.0,858.0,1.0,852.0,1,0.33586290840535615,0.0
4,4,-0.8794977089464793,-0.9,1,438.0,858.0,1.0,254.0,1,0.6702819909042617,0.0
5,5,0.22804916438801603,0.2,0,274.0,891.0,1.0,155.0,0,1.6665438057971682,0.0
6,6,0.2029043953625569,0.2,0,451.0,543.0,0.0,256.0,1,1.5008280387788586,0.0
7,7,-0.09713911736076986,-0.1,1,411.0,650.0,0.0,149.0,0,1.8868846836790363,0.0
8,8,-0.11671974607263103,-0.1,1,438.0,847.0,1.0,635.0,1,1.4301669069659035,0.0
9,9,0.3818799594289728,0.4,0,283.0,691.0,0.0,886.0,1,0.7916718563477323,0.0
10,10,0.6764582015477665,0.7,0,425.0,611.0,0.0,194.0,1,1.1414011320331479,0.0
11,11,-0.9840695230427008,-1.0,1,305.0,906.0,1.0,159.0,1,1.4692870352262215,0.0
12,12,0.8973864128123612,0.9,0,379.0,909.0,0.0,162.0,1,0.7021150539625525,0.0
13,13,0.33493731509589897,0.3,0,269.0,995.0,0.0,356.0,1,0.5584550778436193,0.0
14,14,0.44092120267838375,0.4,0,283.0,766.0,0.0,3951.0,1,0.014765216451032348,0.0
15,15,0.5461135411098714,0.5,0,436.0,750.0,0.0,424.0,1,0.47007542898318766,0.0
16,16,0.7685070512694863,0.8,0,471.0,596.0,0.0,153.0,1,1.3927767474446322,0.0
17,17,-0.9153355069968676,-0.9,1,446.0,856.0,1.0,138.0,1,1.763808909338058,0.0
18,18,0.7664343523447428,0.8,0,442.0,954.0,0.0,44.0,1,1.009278979585589,0.0
19,19,0.22446864085153706,0.2,0,324.0,661.0,0.0,195.0,1,0.8969971802975227,0.0
20,20,-0.026547551656644908,-0.0,1,428.0,798.0,1.0,3774.0,1,0.012133245150114602,0.0
21,21,0.23131037244526875,0.2,0,305.0,910.0,0.0,1475.0,1,0.2401936704396579,0.0
22,22,-0.7872457916255498,-0.8,1,352.0,642.0,1.0,236.0,1,0.9058898109497979,0.0
23,23,-0.641887490512439,-0.6,1,393.0,869.0,1.0,178.0,1,1.288686324344192,0.0
24,24,-0.9188330762810388,-0.9,1,269.0,978.0,1.0,243.0,1,0.5939219823146267,0.0
25,25,-0.29972231806158844,-0.3,1,452.0,834.0,1.0,724.0,1,0.1766121056422154,0.0
26,26,-0.4023906760607616,-0.4,1,356.0,796.0,1.0,208.0,1,1.2995343028881068,0.0
27,27,0.4246735308318754,0.4,0,457.0,684.0,0.0,1869.0,1,0.13835490169346754,0.0
28,28,0.21232898458761595,0.2,0,389.0,732.0,0.0,409.0,1,1.9802142617709084,0.0
29,29,-0.38038651211142227,-0.4,1,486.0,620.0,1.0,264.0,1,1.0220131481105321,0.0
30,30,-0.10942064012129271,-0.1,1,453.0,958.0,1.0,3589.0,1,0.03761045089113546,0.0
31,31,0.28070180204381634,0.3,0,354.0,889.0,0.0,197.0,1,0.7464557407751702,0.0
32,32,-0.5158429769603929,-0.5,1,335.0,900.0,1.0,3765.0,1,0.0004274676151065915,0.0
33,33,0.9827092617525084,1.0,0,286.0,669.0,0.0,135.0,1,0.7196180889195061,0.0
34,34,0.3533972076796954,0.4,0,269.0,570.0,0.0,181.0,1,1.0758797011714138,0.0
35,35,0.06593025911811301,0.1,0,261.0,841.0,1.0,3028.0,0,0.782967718649531,0.0
36,36,0.7769897838651507,0.8,0,260.0,633.0,0.0,147.0,1,1.904835800898608,0.0
37,37,0.7077146938186885,0.7,0,471.0,912.0,0.0,3617.0,1,0.004374950443425618,0.0
38,38,0.337633119678858,0.3,0,394.0,830.0,0.0,436.0,1,0.7981722217170597,0.0
39,39,0.4937858940807205,0.5,0,335.0,887.0,0.0,308.0,1,1.3782714015422282,0.0
40,40,0.8699572437452301,0.9,0,304.0,676.0,0.0,110.0,1,1.0629063495403703,0.0
41,41,-0.8559687158382121,-0.9,1,371.0,773.0,1.0,246.0,1,0.5249627312034575,0.0
42,42,-0.9827592497613244,-1.0,1,443.0,680.0,1.0,117.0,1,1.3763189794560655,0.0
43,43,-0.26134498444775756,-0.3,1,312.0,813.0,1.0,625.0,1,0.8475023287803705,0.0
44,44,0.5646850478368062,0.6,0,353.0,943.0,0.0,224.0,1,1.539363495814511,0.0
45,45,-0.43676652284079287,-0.4,1,258.0,646.0,1.0,4096.0,1,0.022822709422430032,0.0
46,46,0.6286582281113535,0.6,0,337.0,519.0,0.0,154.0,1,0.8303619912992195,0.0
47,47,-0.5068394878659639,-0.5,1,433.0,660.0,1.0,827.0,1,0.13262550583969124,0.0
48,48,0.12343875600476228,0.1,0,413.0,585.0,0.0,1972.0,1,0.4930087958156246,0.0
49,49,0.057047429162044416,0.1,0,321.0,738.0,0.0,2211.0,1,0.21618196447869042,0.0
50,50,0.989835226561,1.0,0,291.0,976.0,0.0,123.0,1,1.7862617152201536,0.0
51,51,-0.3960670891865701,-0.4,1,489.0,545.0,1.0,286.0,1,1.4762134523514856,0.0
52,52,-0.6558572143957664,-0.7,1,288.0,688.0,1.0,184.0,1,1.3230621479750329,0.0
53,53,0.40529228189355493,0.4,0,292.0,733.0,0.0,135.0,1,1.863168249421179,0.0
54,54,-0.49298307684098197,-0.5,1,455.0,719.0,1.0,536.0,1,0.48742749297558285,0.0
55,55,0.9179599060554982,0.9,0,336.0,617.0,0.0,87.0,1,1.9035074078173755,0.0
56,56,-0.4562653310793028,-0.5,1,430.0,754.0,1.0,316.0,1,1.9820838566062333,0.0
57,57,-0.5408741170778808,-0.5,1,254.0,832.0,1.0,274.0,1,0.8401414780627738,0.0
58,58,0.5065012016366501,0.5,0,418.0,787.0,0.0,415.0,1,1.1245672289935635,0.0
59,59,0.7240226078323835,0.7,0,444.0,782.0,0.0,1184.0,1,0.07866917168236065,0.0
60,60,-0.498748468691818,-0.5,1,287.0,799.0,1.0,274.0,1,1.6675102243931217,0.0
61,61,0.04752041608165536,0.0,0,471.0,713.0,0.0,486.0,1,1.036195070664038,0.0
62,62,-0.22373752940419922,-0.2,1,263.0,982.0,1.0,145.0,1,1.222950677273262,0.0
63,63,0.3327252865937149,0.3,0,496.0,671.0,0.0,173.0,1,1.9944280876516263,0.0
64,64,-0.9045069363857521,-0.9,1,310.0,914.0,1.0,306.0,1,0.8189069023638198,0.0
65,65,0.49157264045705196,0.5,0,305.0,907.0,0.0,328.0,1,0.7377130742082016,0.0
66,66,0.3401926422507253,0.3,0,397.0,956.0,0.0,147.0,1,1.9247986892121016,0.0
67,67,0.8616747001647171,0.9,0,269.0,584.0,0.0,327.0,1,0.4380185143080584,0.0
68,68,-0.5299007425172972,-0.5,1,319.0,655.0,1.0,296.0,1,0.8002159600858187,0.0
69,69,0.6895358354009784,0.7,0,323.0,745.0,0.0,1792.0,1,0.0823126484399459,0.0
70,70,0.1548710422779611,0.2,0,259.0,556.0,0.0,415.0,1,0.9756729533716613,0.0
