,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,-0.2725335317173222,-0.3,0.0,1.0,403.0,864.0,1.0,0,1063.0,1
1,1,-0.3928347372028508,-0.4,0.0,1.0,482.0,585.0,1.0,0,473.0,1
2,2,0.18160402130972042,0.2,0.0,0.0,391.0,757.0,0.0,1,1722.0,1
3,3,0.334379186912272,0.3,0.0,0.0,313.0,939.0,0.0,1,488.0,1
4,4,0.740479652749591,0.7,1.0,1.0,418.0,844.0,1.0,1,488.0,1
5,5,0.050693427910009636,0.1,1.0,1.0,364.0,721.0,1.0,1,975.0,1
6,6,-0.6064488705092688,-0.6,0.0,1.0,429.0,762.0,1.0,0,469.0,1
7,7,0.10924769273593993,0.1,1.0,1.0,299.0,898.0,0.0,0,-227.0,0
8,8,0.18027865968970647,0.2,1.0,1.0,473.0,991.0,1.0,1,576.0,1
9,9,-0.290402492824263,-0.3,1.0,0.0,454.0,628.0,0.0,0,688.0,1
10,10,-0.3960352924216599,-0.4,0.0,1.0,376.0,701.0,1.0,0,1063.0,1
11,11,-0.09633866545632486,-0.1,1.0,0.0,291.0,743.0,0.0,0,276.0,1
12,12,0.7310165311238775,0.7,1.0,1.0,394.0,874.0,0.0,0,-108.0,0
13,13,0.681128518229796,0.7,0.0,0.0,457.0,811.0,0.0,1,202.0,1
14,14,0.5484969601239745,0.5,0.0,0.0,253.0,786.0,0.0,1,-9.0,1
15,15,-0.06589569134354722,-0.1,0.0,1.0,486.0,554.0,1.0,0,2170.0,1
16,16,-0.4288487263299873,-0.4,0.0,1.0,304.0,624.0,1.0,0,782.0,1
17,17,-0.6000666397047787,-0.6,0.0,1.0,457.0,734.0,1.0,0,389.0,1
18,18,-0.5046019592671821,-0.5,0.0,1.0,298.0,542.0,1.0,0,230.0,1
19,19,0.27590794575909083,0.3,0.0,0.0,392.0,625.0,0.0,1,493.0,1
20,20,-0.19473168430886056,-0.2,0.0,1.0,387.0,853.0,1.0,0,820.0,1
