,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,-0.7855521905754185,-0.8,1.0,0.0,440.0,750.0,0.0,0,150.0,1
1,1,-0.22425439860267138,-0.2,1.0,0.0,421.0,903.0,0.0,0,676.0,1
2,2,-0.6548626668804283,-0.7,1.0,0.0,258.0,805.0,0.0,0,297.0,1
3,3,-0.4119590168905925,-0.4,0.0,1.0,490.0,823.0,1.0,0,287.0,1
4,4,-0.1578047996026395,-0.2,1.0,0.0,262.0,696.0,0.0,0,432.0,1
5,5,-0.7633486653188815,-0.8,1.0,0.0,345.0,698.0,0.0,0,217.0,1
6,6,0.08565057736742265,0.1,0.0,0.0,279.0,929.0,0.0,1,352.0,1
7,7,-0.2934837339076637,-0.3,1.0,0.0,378.0,976.0,0.0,0,-14.0,1
8,8,-0.4791550651051502,-0.5,0.0,1.0,344.0,741.0,1.0,0,485.0,1
9,9,0.614731358835975,0.6,1.0,1.0,283.0,588.0,1.0,1,279.0,1
10,10,-0.8068769203920378,-0.8,0.0,1.0,474.0,740.0,0.0,1,-404.0,0
11,11,0.5857605730022283,0.6,1.0,1.0,264.0,824.0,1.0,1,352.0,1
12,12,-0.3032915453763164,-0.3,0.0,1.0,415.0,647.0,1.0,0,1308.0,1
13,13,-0.06408562824108588,-0.1,1.0,0.0,327.0,634.0,0.0,0,2019.0,1
14,14,-0.12130811504176964,-0.1,0.0,1.0,331.0,797.0,0.0,1,-318.0,0
15,15,0.7678245246073013,0.8,1.0,1.0,294.0,976.0,1.0,1,510.0,1
16,16,0.19930751730700036,0.2,1.0,1.0,277.0,993.0,0.0,0,-110.0,0
17,17,0.32555216856966773,0.3,0.0,0.0,297.0,694.0,0.0,1,579.0,1
18,18,0.39677978596291397,0.4,0.0,0.0,335.0,804.0,0.0,1,-399.0,1
19,19,0.2228117200205325,0.2,0.0,0.0,418.0,703.0,0.0,1,-231.0,1
20,20,-0.8774671227900696,-0.9,1.0,0.0,353.0,923.0,0.0,0,-86.0,1
21,21,-0.20643519680065703,-0.2,0.0,1.0,430.0,876.0,0.0,1,-466.0,0
22,22,0.43874187727398717,0.4,0.0,0.0,287.0,690.0,0.0,1,473.0,1
23,23,-0.3842921283979197,-0.4,0.0,1.0,299.0,511.0,0.0,1,10.0,0
24,24,-0.6898644240097751,-0.7,1.0,0.0,378.0,727.0,0.0,0,375.0,1
25,25,-0.6875416731590881,-0.7,0.0,1.0,446.0,803.0,1.0,0,201.0,1
26,26,-0.6796823877421118,-0.7,0.0,1.0,471.0,745.0,0.0,1,-176.0,0
27,27,-0.42791384228936863,-0.4,1.0,0.0,489.0,986.0,0.0,0,-205.0,1
28,28,-0.6885412101561779,-0.7,0.0,1.0,263.0,951.0,0.0,1,-634.0,0
29,29,-0.6090033670850714,-0.6,0.0,1.0,323.0,624.0,1.0,0,143.0,1
