,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,0.008643286007142259,0.0,0.0,0.0,301.0,632.0,1.0,0,4067.0,0
1,1,-0.36953184336103617,-0.4,0.0,1.0,484.0,624.0,1.0,0,122.0,1
2,2,0.4543398278463605,0.5,0.0,0.0,377.0,828.0,0.0,1,155.0,1
3,3,-0.3498317927209603,-0.3,1.0,0.0,405.0,974.0,0.0,0,251.0,1
4,4,0.028558276798459348,0.0,1.0,1.0,296.0,800.0,1.0,1,484.0,1
5,5,-0.566757227668903,-0.6,0.0,1.0,454.0,532.0,1.0,0,344.0,1
6,6,0.15851039421177882,0.2,1.0,1.0,314.0,561.0,1.0,1,365.0,1
7,7,0.7216789402056388,0.7,0.0,0.0,326.0,621.0,0.0,1,153.0,1
8,8,0.8951327839564017,0.9,0.0,0.0,431.0,694.0,0.0,1,135.0,1
9,9,-0.031013729071121765,-0.0,0.0,1.0,438.0,911.0,1.0,0,961.0,1
10,10,-0.13943765668838093,-0.1,1.0,0.0,301.0,837.0,0.0,0,372.0,1
11,11,0.14654099991897562,0.1,1.0,1.0,441.0,749.0,1.0,1,280.0,1
12,12,0.655537812700126,0.7,1.0,1.0,478.0,968.0,1.0,1,24.0,1
13,13,0.13408700746731939,0.1,1.0,1.0,330.0,695.0,1.0,1,495.0,1
14,14,-0.43716330275556764,-0.4,0.0,1.0,297.0,696.0,1.0,0,197.0,1
15,15,0.19684054090670233,0.2,0.0,0.0,333.0,748.0,0.0,1,279.0,1
16,16,0.2952051405196793,0.3,0.0,0.0,376.0,721.0,0.0,1,203.0,1
17,17,0.03236167399274237,0.0,0.0,0.0,252.0,814.0,0.0,1,3934.0,1
18,18,0.6981729499027637,0.7,1.0,1.0,432.0,565.0,1.0,1,163.0,1
19,19,-0.3962371176433256,-0.4,0.0,1.0,400.0,529.0,1.0,0,411.0,1
20,20,0.2008748913969004,0.2,0.0,0.0,447.0,593.0,0.0,1,400.0,1
21,21,0.48367449475867097,0.5,0.0,0.0,441.0,647.0,0.0,1,282.0,1
22,22,-0.3534829682292352,-0.4,0.0,1.0,267.0,768.0,1.0,0,195.0,1
23,23,-0.09641995593849473,-0.1,1.0,0.0,422.0,981.0,0.0,0,1337.0,1
24,24,0.8265606269505169,0.8,0.0,0.0,453.0,708.0,0.0,1,119.0,1
25,25,-0.18257250970948646,-0.2,1.0,0.0,454.0,783.0,0.0,0,413.0,1
26,26,0.7460525874996161,0.7,1.0,1.0,360.0,733.0,1.0,1,147.0,1
27,27,-0.4839468214738277,-0.5,1.0,0.0,258.0,697.0,0.0,0,285.0,1
28,28,-0.10473542975319394,-0.1,0.0,1.0,332.0,862.0,1.0,0,426.0,1
29,29,0.4503831897281728,0.5,0.0,0.0,422.0,588.0,0.0,1,260.0,1
30,30,-0.26206307069823465,-0.3,0.0,1.0,357.0,689.0,1.0,0,354.0,1
31,31,-0.8256429690556386,-0.8,0.0,1.0,376.0,975.0,1.0,0,149.0,1
32,32,-0.8792969277071072,-0.9,0.0,1.0,456.0,813.0,1.0,0,231.0,1
33,33,0.7840583626947383,0.8,1.0,1.0,488.0,615.0,1.0,1,137.0,1
34,34,-0.11817909735995469,-0.1,0.0,1.0,258.0,974.0,1.0,0,288.0,1
35,35,-0.17036719176936077,-0.2,1.0,0.0,389.0,508.0,0.0,0,533.0,1
36,36,0.4850392333922683,0.5,0.0,0.0,293.0,738.0,0.0,1,249.0,1
