,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,-0.6688863593699196,-0.7,0.0,1.0,375.0,843.0,1.0,0,-148.0,1
1,1,-0.20827416037505697,-0.2,1.0,0.0,295.0,988.0,0.0,0,907.0,1
2,2,0.04258698863290977,0.0,1.0,1.0,441.0,848.0,0.0,0,701.0,0
3,3,0.3883286420734281,0.4,0.0,0.0,431.0,816.0,0.0,1,433.0,1
4,4,-0.8151044451737512,-0.8,1.0,0.0,373.0,683.0,0.0,0,304.0,1
5,5,-0.7964710270035359,-0.8,1.0,0.0,353.0,736.0,0.0,0,271.0,1
6,6,0.7562040290067952,0.8,0.0,0.0,405.0,981.0,0.0,1,-26.0,1
7,7,-0.8977804545718112,-0.9,0.0,1.0,252.0,802.0,1.0,0,176.0,1
8,8,0.2910713147077052,0.3,0.0,0.0,461.0,571.0,0.0,1,288.0,1
9,9,-0.31980483719059527,-0.3,1.0,0.0,461.0,832.0,0.0,0,357.0,1
10,10,0.2987535487636631,0.3,1.0,1.0,496.0,602.0,1.0,1,832.0,1
11,11,-0.7227519625565307,-0.7,1.0,0.0,256.0,528.0,0.0,0,286.0,1
12,12,0.7434532892586824,0.7,0.0,0.0,477.0,936.0,0.0,1,307.0,1
13,13,-0.6789660236513195,-0.7,1.0,0.0,256.0,668.0,0.0,0,276.0,1
14,14,0.2883250427378151,0.3,1.0,1.0,291.0,893.0,1.0,1,956.0,1
15,15,0.12233549069037408,0.1,1.0,1.0,369.0,789.0,0.0,0,-328.0,0
16,16,0.4860623295880474,0.5,0.0,0.0,388.0,516.0,0.0,1,386.0,1
17,17,-0.31364946436520613,-0.3,0.0,1.0,409.0,877.0,0.0,1,-196.0,0
18,18,-0.2569196443861054,-0.3,1.0,0.0,489.0,730.0,0.0,0,421.0,1
19,19,0.048173252116556875,0.0,1.0,1.0,414.0,668.0,1.0,1,858.0,1
20,20,-0.040994861760865864,-0.0,0.0,1.0,438.0,530.0,1.0,0,4032.0,1
21,21,-0.04910945657421306,-0.0,1.0,0.0,361.0,878.0,0.0,0,61.0,1
22,22,0.2912705007835795,0.3,0.0,0.0,481.0,837.0,0.0,1,432.0,1
23,23,0.7911126292218155,0.8,1.0,1.0,454.0,970.0,1.0,1,516.0,1
24,24,-0.6289539040794696,-0.6,1.0,0.0,492.0,905.0,0.0,0,83.0,1
