,trial,coherence,coherence_bin,green_side,correct_side,target_onset,checker_onset,decision,green_decision,decision_time,correct_decision
0,0,0.40491541767353334,0.4,1.0,1.0,421.0,661.0,0.0,0,1918.0,0
1,1,0.6796871729572563,0.7,0.0,0.0,398.0,605.0,0.0,1,1997.0,1
2,2,-0.27572948635175865,-0.3,1.0,0.0,414.0,914.0,0.0,0,1672.0,1
3,3,0.6850901511023445,0.7,0.0,0.0,465.0,657.0,0.0,1,1878.0,1
4,4,-0.3019406903241819,-0.3,1.0,0.0,364.0,984.0,0.0,0,1652.0,1
5,5,-0.6695709612491498,-0.7,1.0,0.0,252.0,846.0,0.0,0,1902.0,1
6,6,0.17440604144304472,0.2,0.0,0.0,385.0,868.0,0.0,1,1747.0,1
7,7,0.23258079838426993,0.2,0.0,0.0,449.0,748.0,0.0,1,1803.0,1
8,8,-0.1213215389317589,-0.1,0.0,1.0,426.0,613.0,0.0,1,1961.0,0
9,9,-0.853866249834826,-0.9,1.0,0.0,437.0,663.0,0.0,0,1900.0,1
10,10,0.1900433228682551,0.2,0.0,0.0,491.0,704.0,0.0,1,1805.0,1
11,11,0.11818992895264524,0.1,0.0,0.0,365.0,585.0,0.0,1,2050.0,1
12,12,0.584775232929161,0.6,1.0,1.0,367.0,698.0,0.0,0,-1045.0,0
13,13,0.348375933467998,0.3,1.0,1.0,361.0,774.0,0.0,0,1865.0,0
14,14,-0.8152432159611854,-0.8,0.0,1.0,397.0,846.0,0.0,1,1757.0,0
15,15,-0.27937352592404585,-0.3,0.0,1.0,369.0,826.0,0.0,1,1805.0,0
16,16,-0.7737537472561722,-0.8,1.0,0.0,465.0,572.0,0.0,0,1963.0,1
17,17,0.8018615155543217,0.8,0.0,0.0,318.0,511.0,0.0,1,2171.0,1
18,18,-0.3985006802293194,-0.4,1.0,0.0,432.0,745.0,0.0,0,1823.0,1
19,19,-0.15326548873518975,-0.2,0.0,1.0,363.0,782.0,0.0,1,1855.0,0
20,20,0.27917183292400904,0.3,1.0,1.0,420.0,624.0,0.0,0,1956.0,0
21,21,-0.14175856565347833,-0.1,0.0,1.0,339.0,707.0,0.0,1,1954.0,0
22,22,-0.013253595768499382,-0.0,0.0,1.0,287.0,534.0,0.0,1,2179.0,0
23,23,0.06766088529286407,0.1,0.0,0.0,495.0,538.0,0.0,1,1967.0,1
24,24,0.8567910188906748,0.9,0.0,0.0,331.0,531.0,0.0,1,2138.0,1
25,25,0.7657475981551306,0.8,0.0,0.0,447.0,576.0,0.0,1,1977.0,1
26,26,-0.42944408558333047,-0.4,1.0,0.0,442.0,873.0,0.0,0,1685.0,1
27,27,-0.5500463477579065,-0.6,1.0,0.0,304.0,520.0,0.0,0,2176.0,1
28,28,-0.39806514251508784,-0.4,1.0,0.0,328.0,583.0,0.0,0,-831.0,1
29,29,-0.668346364382429,-0.7,0.0,1.0,292.0,827.0,0.0,1,1881.0,0
30,30,0.3149752541627274,0.3,0.0,0.0,363.0,969.0,0.0,1,1668.0,1
31,31,0.6865532683702932,0.7,1.0,1.0,304.0,591.0,0.0,0,2105.0,0
32,32,0.40848738592791023,0.4,0.0,0.0,405.0,624.0,0.0,1,1971.0,1
33,33,0.048417191180849195,0.0,1.0,1.0,386.0,684.0,0.0,0,1930.0,0
34,34,0.11395695523038951,0.1,1.0,1.0,363.0,861.0,0.0,0,-1024.0,0
35,35,-0.8589448165865182,-0.9,0.0,1.0,401.0,996.0,0.0,1,1603.0,0
36,36,-0.01960863431211335,-0.0,0.0,1.0,261.0,584.0,0.0,1,2155.0,0
37,37,-0.780400425217361,-0.8,1.0,0.0,376.0,835.0,0.0,0,1789.0,1
38,38,-0.7097556447899739,-0.7,1.0,0.0,489.0,635.0,0.0,0,1876.0,1
39,39,-0.5324992024156577,-0.5,0.0,1.0,258.0,902.0,0.0,1,1840.0,0
40,40,-0.07846405002596646,-0.1,1.0,0.0,299.0,542.0,1.0,1,-751.0,0
41,41,-0.14105992606030704,-0.1,1.0,0.0,259.0,596.0,0.0,0,2145.0,1
42,42,-0.8798220943051326,-0.9,1.0,0.0,392.0,828.0,0.0,0,1780.0,1
43,43,0.4558737937071059,0.5,0.0,0.0,482.0,651.0,0.0,1,-1043.0,1
44,44,-0.30499436198336793,-0.3,1.0,0.0,334.0,631.0,0.0,0,2035.0,1
45,45,-0.8698795649067551,-0.9,1.0,0.0,383.0,993.0,0.0,0,1624.0,1
46,46,-0.2043109654478268,-0.2,1.0,0.0,380.0,910.0,0.0,0,-1270.0,1
47,47,-0.7230486886379477,-0.7,0.0,1.0,324.0,877.0,0.0,1,1799.0,0
48,48,-0.4924240350665334,-0.5,1.0,0.0,373.0,516.0,1.0,1,-829.0,0
49,49,0.7678563670981547,0.8,1.0,1.0,390.0,813.0,0.0,0,1797.0,0
50,50,-0.07717943140430106,-0.1,1.0,0.0,450.0,713.0,0.0,0,1837.0,1
51,51,-0.8447365006320593,-0.8,1.0,0.0,428.0,648.0,1.0,1,-956.0,0
52,52,-0.6653236314327324,-0.7,0.0,1.0,290.0,916.0,0.0,1,1794.0,0
53,53,0.29514642051481965,0.3,0.0,0.0,428.0,591.0,0.0,1,-979.0,1
54,54,-0.5803789517358807,-0.6,0.0,1.0,437.0,739.0,0.0,1,1824.0,0
55,55,-0.5449268131617411,-0.5,1.0,0.0,370.0,643.0,0.0,0,1987.0,1
56,56,0.10477895495485201,0.1,0.0,0.0,461.0,662.0,0.0,1,1877.0,1
57,57,-0.37808385308603154,-0.4,0.0,1.0,320.0,598.0,0.0,1,2082.0,0
58,58,-0.8544949018745424,-0.9,1.0,0.0,267.0,722.0,1.0,1,-959.0,0
59,59,-0.1770064442246564,-0.2,0.0,1.0,422.0,853.0,0.0,1,1725.0,0
60,60,-0.12119072394944252,-0.1,0.0,1.0,274.0,845.0,0.0,1,1881.0,0
61,61,-0.11145173695755595,-0.1,1.0,0.0,454.0,540.0,0.0,0,2006.0,1
62,62,0.7076829341745553,0.7,1.0,1.0,292.0,711.0,0.0,0,1997.0,0
63,63,0.5553888385779494,0.6,1.0,1.0,386.0,839.0,1.0,1,-1175.0,1
64,64,0.34776229941281234,0.3,0.0,0.0,325.0,626.0,0.0,1,2049.0,1
65,65,-0.8647762397805219,-0.9,0.0,1.0,359.0,948.0,0.0,1,1693.0,0
66,66,-0.29852230111595557,-0.3,1.0,0.0,447.0,611.0,1.0,1,-1028.0,0
67,67,0.5896726707752536,0.6,1.0,1.0,341.0,859.0,0.0,0,1800.0,0
68,68,-0.41176718149947017,-0.4,1.0,0.0,371.0,964.0,0.0,0,-1265.0,1
69,69,-0.009951042394515941,-0.0,0.0,1.0,315.0,573.0,0.0,1,-888.0,0
70,70,0.2974923571102509,0.3,0.0,0.0,387.0,557.0,0.0,1,2056.0,1
71,71,-0.01197963192036633,-0.0,0.0,1.0,327.0,555.0,0.0,1,2118.0,0
72,72,-0.29242541855723214,-0.3,1.0,0.0,358.0,954.0,0.0,0,1688.0,1
73,73,-0.7340765186869957,-0.7,1.0,0.0,262.0,532.0,1.0,1,-634.0,0
74,74,-0.23737118445409955,-0.2,1.0,0.0,482.0,807.0,0.0,0,1711.0,1
75,75,0.25992350109244244,0.3,0.0,0.0,342.0,992.0,0.0,1,1666.0,1
